,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
34,下列可能不符合商业伦理规范的是,企业在生产过程中提供健康、安全的工作环境,同股不同权,企业禁止从不尊重人权、无人性道义的企业采购物资,员工努力工作以达成公司目标并获得薪酬与职业升迁,B,"answer: right
token: 114, 113, 1
time: 0.2s",,"answer: right
token: 114, 113, 1
time: 3.8s","answer: right
token: 111, 110, 1
time: 0.7s","answer: right
token: 558, 110, 1
time: 3.5s",,"answer: right
token: 164, 160, 4
time: 2.7s","answer: right
token: 372, 160, 212
time: 2.3s","answer: right
token: 164, 160, 4
time: 2.6s"
35,企业的股东分为企业（）和（）两大类,管理股东；投资者股东,个人股东；机构股东,大股东；小股东,控制股东；非控制股东,A,"answer: wrong (B)
token: 98, 97, 1
time: 0.2s",,"answer: wrong (B)
token: 98, 97, 1
time: 3.3s","answer: wrong (B)
token: 90, 89, 1
time: 0.4s","answer: wrong (B)
token: 853, 89, 1
time: 5.2s",,"answer: wrong (B)
token: 125, 121, 4
time: 2.9s","answer: wrong (B)
token: 125, 121, 4
time: 0.7s","answer: wrong (B)
token: 125, 121, 4
time: 2.4s"
36,企业中存在“道德风险”的主要原因,权力与责任不对称,某种垄断,信息不对称,过分追求利润最大化,C,"answer: right
token: 95, 89, 6
time: 0.3s",,"answer: right
token: 90, 89, 1
time: 1.9s","answer: right
token: 84, 83, 1
time: 0.8s","answer: right
token: 450, 83, 1
time: 3.0s",,"answer: right
token: 115, 111, 4
time: 2.3s","answer: right
token: 115, 111, 4
time: 0.7s","answer: right
token: 115, 111, 4
time: 2.6s"
37,下列不属于不正当竞争行为的是,恶性低价竞争,蓄意抹黑对手,商业贿赂,性别、种族歧视,D,"answer: right
token: 89, 88, 1
time: 0.2s",,"answer: right
token: 89, 88, 1
time: 1.6s","answer: right
token: 88, 87, 1
time: 0.3s","answer: right
token: 518, 87, 1
time: 3.5s",,"answer: right
token: 119, 115, 4
time: 2.4s","answer: right
token: 245, 115, 130
time: 1.7s","answer: right
token: 119, 115, 4
time: 2.4s"
38,企业伦理守则的基本依据是,道德规范,伦理观念,伦理守则,社会伦理规范,D,"answer: right
token: 90, 83, 7
time: 0.3s",,"answer: right
token: 84, 83, 1
time: 1.3s","answer: right
token: 80, 79, 1
time: 0.8s","answer: wrong (B)
token: 497, 79, 1
time: 3.3s",,"answer: right
token: 106, 102, 4
time: 2.3s","answer: right
token: 106, 102, 4
time: 0.7s","answer: right
token: 106, 102, 4
time: 2.1s"
39,通常所说的商业信用体系建设是由信用和（）两方面构成的,诚信,法律,信托,伦理,A,"answer: right
token: 83, 82, 1
time: 0.2s",,"answer: right
token: 83, 82, 1
time: 0.9s","answer: right
token: 81, 80, 1
time: 0.7s","answer: wrong (C)
token: 1253, 80, 1
time: 8.0s",,"answer: right
token: 108, 104, 4
time: 2.2s","answer: wrong (B)
token: 191, 104, 87
time: 1.4s","answer: wrong (B)
token: 108, 104, 4
time: 2.6s"
40,经济活动中的信用区别于其他借贷行为的首要特征是偿还性和,支付利息,让渡货币,中介介入,让渡商品,A,"answer: right
token: 91, 90, 1
time: 0.2s",,"answer: right
token: 91, 90, 1
time: 1.1s","answer: wrong (C)
token: 87, 86, 1
time: 0.7s","answer: right
token: 347, 86, 1
time: 2.3s",,"answer: right
token: 119, 115, 4
time: 2.6s","answer: wrong (B)
token: 119, 115, 4
time: 0.8s","answer: right
token: 119, 115, 4
time: 2.6s"
41,下面不属于契约关系中公平理念的集中体现的是,诚信制度,显失公平制度,情势 变更制度,重大误解制度,A,"answer: right
token: 91, 90, 1
time: 0.2s",,"answer: right
token: 91, 90, 1
time: 0.8s","answer: wrong (B)
token: 88, 87, 1
time: 0.7s","answer: right
token: 4894, 87, 0
time: 29.6s",,"answer: wrong (B)
token: 411, 113, 298
time: 7.4s","answer: right
token: 440, 113, 327
time: 3.2s","answer: wrong (D)
token: 117, 113, 4
time: 1.7s"
42,公正的原则有很多具体的表现形式，其中最核心的是,分配性公正,补偿性公正,惩罚公正,制度公正,A,"answer: right
token: 90, 89, 1
time: 0.2s",,"answer: right
token: 90, 89, 1
time: 7.8s","answer: right
token: 84, 83, 1
time: 0.7s","answer: right
token: 761, 83, 1
time: 5.2s",,"answer: wrong (D)
token: 116, 112, 4
time: 2.9s","answer: wrong (D)
token: 116, 112, 4
time: 1.0s","answer: wrong (D)
token: 116, 112, 4
time: 2.4s"
43,跨国公司伦理关系整合战略的终极目标是,社区化,利益化,本土化,信息化,C,"answer: right
token: 88, 83, 5
time: 0.3s",,"answer: right
token: 84, 83, 1
time: 0.8s","answer: right
token: 81, 80, 1
time: 0.7s","answer: right
token: 805, 80, 0
time: 5.0s",,"answer: right
token: 104, 100, 4
time: 2.5s","answer: right
token: 104, 100, 4
time: 0.7s","answer: wrong (A)
token: 104, 100, 4
time: 2.5s"
44,市场经济按其发展程度高低经历了实物交换关系、货币交换关系和()三种形态,纸币交换关系,信用交换关系,商业交换关系,信贷交换关系,B,"answer: right
token: 104, 98, 6
time: 0.3s",,"answer: right
token: 99, 98, 1
time: 0.8s","answer: right
token: 95, 94, 1
time: 0.7s","answer: right
token: 380, 94, 1
time: 2.5s",,"answer: right
token: 132, 128, 4
time: 2.4s","answer: right
token: 132, 128, 4
time: 0.7s","answer: right
token: 132, 128, 4
time: 2.6s"
45,随着市场经济的发达，居统治地位的是,债权关系,契约关系,物权关系,财产交换关系,D,"answer: wrong (B)
token: 97, 90, 7
time: 0.4s",,"answer: wrong (B)
token: 91, 90, 1
time: 1.0s","answer: wrong (B)
token: 82, 81, 1
time: 0.3s","answer: wrong (A)
token: 976, 81, 1
time: 5.8s",,"answer: wrong (B)
token: 107, 103, 4
time: 2.4s","answer: wrong (B)
token: 107, 103, 4
time: 1.2s","answer: wrong (B)
token: 107, 103, 4
time: 1.8s"
46,组织内部的沟通过程就是,分享信息,协作,观念趋于一致,互助,A,"answer: right
token: 81, 80, 1
time: 0.4s",,"answer: right
token: 81, 80, 1
time: 1.1s","answer: right
token: 77, 76, 1
time: 0.8s","answer: wrong (C)
token: 622, 76, 1
time: 4.2s",,"answer: wrong (C)
token: 99, 95, 4
time: 2.2s","answer: wrong (C)
token: 99, 95, 4
time: 1.3s","answer: right
token: 99, 95, 4
time: 6.1s"
47,伦理关系是一种,仅仅包含在家庭关系中的社会关系,人们自行设计，并经人们努力创造的一种客观事实,独立于其它社会关系之外的一种关系,客观的、必然的社会关系事实,D,"answer: right
token: 104, 103, 1
time: 0.4s",,"answer: right
token: 104, 103, 1
time: 1.0s","answer: right
token: 101, 100, 1
time: 0.8s","answer: right
token: 503, 100, 1
time: 3.2s",,"answer: right
token: 149, 145, 4
time: 2.5s","answer: right
token: 149, 145, 4
time: 0.9s","answer: right
token: 149, 145, 4
time: 2.6s"
48,在卡罗尔设计的金字塔型企业社会责任模型中，最基础层面的责任是企业的,经济责任,慈善责任,伦理责任,法律责任,A,"answer: right
token: 93, 92, 1
time: 0.2s",,"answer: right
token: 93, 92, 1
time: 0.7s","answer: right
token: 91, 90, 1
time: 0.6s","answer: right
token: 288, 90, 1
time: 1.8s",,"answer: right
token: 127, 123, 4
time: 2.4s","answer: right
token: 246, 123, 123
time: 1.8s","answer: right
token: 127, 123, 4
time: 2.6s"
49,商业伦理导向下的企业与员工关系的构建原则是,尊重人、关心人、帮助人,尊重人、关心人、公正地对待人,尊重人、关心人、友好地对待人,尊重人、关心人、理解人,B,"answer: right
token: 116, 115, 1
time: 0.2s",,"answer: right
token: 116, 115, 1
time: 1.6s","answer: right
token: 110, 109, 1
time: 0.7s","answer: right
token: 556, 109, 1
time: 3.1s",,"answer: right
token: 149, 145, 4
time: 2.6s","answer: right
token: 149, 145, 4
time: 0.9s","answer: right
token: 149, 145, 4
time: 2.5s"
50,企业立业之根本要求是,诚实守信,社会利益,盈利,增大竞争力,A,"answer: right
token: 83, 82, 1
time: 0.2s",,"answer: right
token: 83, 82, 1
time: 2.9s","answer: right
token: 75, 74, 1
time: 0.7s","answer: right
token: 354, 74, 1
time: 2.6s",,"answer: right
token: 100, 96, 4
time: 2.4s","answer: right
token: 100, 96, 4
time: 0.8s","answer: right
token: 100, 96, 4
time: 3.1s"
51,关系营销更注意维系现有顾客，不让顾客有离去的机会，这就是企业推行的,少量顾客背离计划,挽留顾客计划,零顾客背离计划,留住多数顾客计划,C,"answer: right
token: 114, 105, 9
time: 0.3s",,"answer: right
token: 106, 105, 1
time: 0.8s","answer: wrong (B)
token: 101, 100, 1
time: 0.6s","answer: right
token: 363, 100, 1
time: 2.4s",,"answer: right
token: 141, 137, 4
time: 2.7s","answer: right
token: 141, 137, 4
time: 0.8s","answer: right
token: 141, 137, 4
time: 2.6s"
52,“树立‘共生’理念，共建美好家园”，这是,间接利益相关者公共关系构建的基点,现代公共关系构建的基点,部门关系构建的基点,直接利益相关者公共关系构建的基点,A,"answer: wrong (B)
token: 113, 112, 1
time: 0.2s",,"answer: wrong (B)
token: 113, 112, 1
time: 1.1s","answer: wrong (B)
token: 109, 108, 1
time: 0.6s","answer: right
token: 960, 108, 1
time: 6.5s",,"answer: wrong (B)
token: 143, 139, 4
time: 2.8s","answer: wrong (B)
token: 143, 139, 4
time: 0.8s","answer: right
token: 265, 139, 126
time: 4.5s"
53,下列说法正确的是（）a传统产品赔偿前提是厂商在产品安全方面没尽到责任，是消费者受损害；b严格赔偿责任前提是无论厂商是否在产品安全方面尽到责任，消费者受到伤害；c传统的产品赔偿条件是产品的安全性能与缺陷；d严格的产品赔偿责任的条件是产品的某种安全性能有缺陷,abc,bcd,abd,abcd,C,"answer: wrong (B)
token: 142, 138, 4
time: 0.2s",,"answer: wrong (B)
token: 139, 138, 1
time: 1.2s","answer: wrong (B)
token: 141, 140, 1
time: 0.8s","answer: right
token: 2067, 140, 0
time: 12.2s",,"answer: wrong (A)
token: 640, 214, 426
time: 9.1s","answer: wrong (A)
token: 627, 214, 413
time: 3.2s","answer: wrong (A)
token: 520, 214, 306
time: 6.7s"
54,合乎伦理的管理是,提升企业的道德水准，消除不道德经营行为，获取正当的经济效益,一项管理职能，即是管理工作的一部分,创造良好的部关系，为企业经济效益服务,保持企业与公众之间的交流、理解、认可与合作,A,"answer: right
token: 113, 112, 1
time: 0.3s",,"answer: right
token: 113, 112, 1
time: 1.2s","answer: right
token: 116, 115, 1
time: 0.7s","answer: right
token: 437, 115, 1
time: 2.6s",,"answer: right
token: 167, 163, 4
time: 2.9s","answer: right
token: 167, 163, 4
time: 1.3s","answer: right
token: 167, 163, 4
time: 3.7s"
