,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
10,畜禽采食生豆饼后出现拉稀，影响蛋白质的利用，其重要原因是生豆饼中含有,抗糖化酶,毒素,抗脂肪酶,抗胰蛋白酶,D,"answer: right
token: 109, 102, 7
time: 0.5s",,"answer: right
token: 103, 102, 1
time: 3.3s","answer: right
token: 96, 95, 1
time: 1.1s","answer: right
token: 293, 95, 1
time: 2.5s",,"answer: right
token: 144, 140, 4
time: 2.4s","answer: right
token: 144, 140, 4
time: 1.5s","answer: right
token: 144, 140, 4
time: 2.0s","answer: right
token: 576, 250, 1
time: 3.6s","answer: right
token: 263, 262, 1
time: 0.8s"
11,某周的日均温分别为9°C、9°C、11°C、12°C、13°C、15°C、16°C，则对喜温作物(生物学零度为10°C)来说，这周的活动的积温为,67°C,18°C,85°C,17°C,A,"answer: wrong (B)
token: 137, 131, 6
time: 0.5s",,"answer: right
token: 132, 131, 1
time: 4.2s","answer: right
token: 142, 141, 1
time: 1.1s","answer: right
token: 1924, 141, 1
time: 10.3s",,"answer: wrong (C)
token: 450, 147, 303
time: 6.5s","answer: wrong (C)
token: 428, 147, 281
time: 2.8s","answer: right
token: 362, 147, 215
time: 5.1s","answer: wrong (D)
token: 791, 268, 1
time: 4.5s","answer: wrong (C)
token: 281, 280, 1
time: 1.0s"
12,下列技术中，由英国科学家F.Sanger发明的是,SDS-聚丙烯酰胺凝胶电泳,用DNFB鉴定N-末端氨基酸,离子交换层析,多聚酶链式反应,B,"answer: right
token: 106, 105, 1
time: 0.4s",,"answer: right
token: 106, 105, 1
time: 1.0s","answer: right
token: 103, 102, 1
time: 1.1s","answer: right
token: 340, 102, 1
time: 2.9s",,"answer: right
token: 145, 141, 4
time: 2.5s","answer: right
token: 236, 141, 95
time: 1.9s","answer: right
token: 145, 141, 4
time: 2.9s","answer: right
token: 600, 252, 1
time: 3.5s","answer: right
token: 265, 264, 1
time: 0.8s"
13,稻草→牛→蚯蚓→鸡→猪→鱼是一条典型的,腐生食物链,寄生食物链,草牧食物链,混合食物链,D,"answer: right
token: 107, 99, 8
time: 0.6s",,"answer: wrong (A)
token: 100, 99, 1
time: 8.3s","answer: wrong (C)
token: 91, 90, 1
time: 0.9s","answer: right
token: 929, 90, 1
time: 6.7s",,"answer: right
token: 125, 121, 4
time: 2.7s","answer: right
token: 125, 121, 4
time: 1.1s","answer: right
token: 125, 121, 4
time: 2.9s","answer: right
token: 913, 244, 1
time: 6.5s","answer: right
token: 257, 256, 1
time: 0.8s"
14,下列关于铁元素生理功能的叙述，错误的是,铁可作为光系统工的组分参与光合电子传递,铁是硝酸还原酶的组分，缺铁时NO3－还原过程受阻,铁可作为细胞色素的组分参与呼吸电子传递,铁是叶绿素分子的组分，缺铁时植物会发生缺绿症状,D,"answer: right
token: 143, 142, 1
time: 0.5s",,"answer: right
token: 143, 142, 1
time: 1.0s","answer: right
token: 137, 136, 1
time: 1.3s","answer: right
token: 699, 136, 1
time: 4.7s","answer: right
token: 721, 136, 1
time: 8.6s","answer: right
token: 382, 192, 190
time: 5.4s","answer: wrong (A)
token: 559, 192, 367
time: 3.5s","answer: wrong (A)
token: 632, 192, 440
time: 9.0s","answer: right
token: 774, 287, 1
time: 5.2s","answer: right
token: 300, 299, 1
time: 1.0s"
15,一般作物需水高峰期在,中期,播种出苗期,后期,前期,A,"answer: right
token: 82, 81, 1
time: 0.7s",,"answer: right
token: 82, 81, 1
time: 0.8s","answer: right
token: 75, 74, 1
time: 1.1s","answer: right
token: 280, 74, 1
time: 2.5s",,"answer: right
token: 95, 91, 4
time: 6.6s","answer: right
token: 95, 91, 4
time: 1.2s","answer: right
token: 95, 91, 4
time: 2.1s","answer: right
token: 456, 226, 1
time: 2.7s","answer: right
token: 239, 238, 1
time: 0.8s"
16,在砧木对接穗的影响关系中，矮化砧与乔化砧相比，一般矮化砧,使树体变矮小，枝量减少，树的寿命延长,使树体变矮小，枝量增多，树的寿命缩短,使树体变矮小，枝量减少，树的寿命缩短,使树体变高大，枝量增多，树的寿命延长,C,"answer: wrong (A)
token: 145, 144, 1
time: 0.5s",,"answer: right
token: 145, 144, 1
time: 3.3s","answer: wrong (A)
token: 142, 141, 1
time: 1.1s","answer: right
token: 816, 141, 1
time: 5.6s",,"answer: wrong (B)
token: 193, 189, 4
time: 3.0s","answer: wrong (B)
token: 451, 189, 262
time: 3.1s","answer: right
token: 193, 189, 4
time: 2.8s","answer: wrong (B)
token: 1030, 292, 1
time: 5.9s","answer: right
token: 305, 304, 1
time: 0.8s"
17,农产品规格差价属于,质量差价,季节差价,购销差价,地区差价,A,"answer: right
token: 95, 87, 8
time: 0.5s",,"answer: right
token: 88, 87, 1
time: 1.0s","answer: right
token: 80, 79, 1
time: 1.1s","answer: right
token: 387, 79, 1
time: 2.6s",,"answer: right
token: 97, 93, 4
time: 2.7s","answer: right
token: 149, 93, 56
time: 2.1s","answer: right
token: 97, 93, 4
time: 3.0s","answer: right
token: 684, 229, 1
time: 3.8s","answer: right
token: 242, 241, 1
time: 1.1s"
18,我国的国营农场主要分布在,司法系统,农垦系统,教育科研系统,部队系统,B,"answer: right
token: 86, 85, 1
time: 0.5s",,"answer: right
token: 86, 85, 1
time: 3.6s","answer: right
token: 78, 77, 1
time: 1.0s","answer: right
token: 390, 77, 1
time: 3.7s",,"answer: right
token: 103, 99, 4
time: 2.5s","answer: right
token: 127, 99, 28
time: 1.8s","answer: right
token: 103, 99, 4
time: 3.5s","answer: right
token: 455, 230, 1
time: 2.5s","answer: right
token: 243, 242, 1
time: 0.8s"
19,家畜的青年期指,从性成熟到开始衰老,从性成熟到体成熟,从断奶到体成熟,从断奶到性成熟,B,"answer: right
token: 94, 93, 1
time: 0.5s",,"answer: wrong (D)
token: 94, 93, 1
time: 1.1s","answer: wrong (C)
token: 87, 86, 1
time: 1.0s","answer: right
token: 471, 86, 1
time: 3.8s","answer: right
token: 1013, 86, 1
time: 12.6s","answer: right
token: 119, 115, 4
time: 2.9s","answer: wrong (D)
token: 119, 115, 4
time: 1.5s","answer: wrong (D)
token: 119, 115, 4
time: 2.0s","answer: wrong (D)
token: 774, 238, 1
time: 4.8s","answer: wrong (D)
token: 251, 250, 1
time: 0.9s"
20,下列作物属于四碳作物的是,小麦,甘蔗,棉花,烟草,B,"answer: right
token: 81, 80, 1
time: 0.2s",,"answer: right
token: 81, 80, 1
time: 0.8s","answer: right
token: 73, 72, 1
time: 0.7s","answer: right
token: 279, 72, 1
time: 2.0s",,"answer: right
token: 99, 95, 4
time: 2.5s","answer: right
token: 216, 95, 121
time: 1.7s","answer: right
token: 99, 95, 4
time: 2.2s","answer: right
token: 406, 226, 1
time: 1.6s","answer: right
token: 239, 238, 1
time: 0.9s"
21,下列能促进果树插条生根的植物生长调节剂是,乙烯利,吲哚丁酸,脱落酸,多效唑,B,"answer: right
token: 91, 90, 1
time: 0.2s",,"answer: right
token: 91, 90, 1
time: 1.2s","answer: right
token: 87, 86, 1
time: 0.7s","answer: right
token: 429, 86, 1
time: 2.8s",,"answer: right
token: 115, 111, 4
time: 2.4s","answer: right
token: 115, 111, 4
time: 0.8s","answer: right
token: 115, 111, 4
time: 2.5s","answer: right
token: 472, 240, 1
time: 2.1s","answer: right
token: 253, 252, 1
time: 0.8s"
22,对遗传起决定作用的是,染色体,氨基酸,去氧核糖核酸,蛋白质,C,"answer: right
token: 95, 86, 9
time: 0.5s",,"answer: right
token: 87, 86, 1
time: 1.1s","answer: right
token: 77, 76, 1
time: 0.6s","answer: right
token: 358, 76, 1
time: 2.6s",,"answer: right
token: 105, 101, 4
time: 2.5s","answer: right
token: 195, 101, 94
time: 2.5s","answer: right
token: 105, 101, 4
time: 1.8s","answer: right
token: 536, 230, 1
time: 2.9s","answer: wrong (A)
token: 243, 242, 1
time: 0.8s"
23,样方中种群个体分散度(S2)大于平均数(m)，这种分布格局称为,均匀型,成群型,随机型,生态型,B,"answer: right
token: 99, 94, 5
time: 0.3s",,"answer: right
token: 95, 94, 1
time: 1.6s","answer: right
token: 91, 90, 1
time: 0.6s","answer: right
token: 306, 90, 1
time: 2.2s",,"answer: right
token: 116, 112, 4
time: 2.7s","answer: right
token: 116, 112, 4
time: 0.8s","answer: wrong (A)
token: 207, 112, 95
time: 4.9s","answer: right
token: 489, 240, 1
time: 2.4s","answer: right
token: 253, 252, 1
time: 0.6s"
24,农业自然资源的整体性是指,自然资源中各种资源数量上有一定比例关系,农业自然资源由多种资源组成,以上说法都不对,自然资源中各种资源是相互联系、相互制约，组成一个系统的,D,"answer: right
token: 106, 105, 1
time: 0.2s",,"answer: right
token: 106, 105, 1
time: 0.5s","answer: right
token: 101, 100, 1
time: 0.5s","answer: right
token: 405, 100, 1
time: 2.6s",,"answer: right
token: 150, 146, 4
time: 2.7s","answer: right
token: 150, 146, 4
time: 0.9s","answer: right
token: 150, 146, 4
time: 3.7s","answer: right
token: 569, 253, 1
time: 3.0s","answer: right
token: 266, 265, 1
time: 0.7s"
25,沉积型循环的特点是,速度快，循环不完全,速度较慢，循环较为完全,速度较慢，循环不完全,速度快，循环比较完全,C,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 2.5s","answer: wrong (B)
token: 93, 92, 1
time: 0.4s","answer: right
token: 453, 92, 1
time: 2.7s",,"answer: right
token: 124, 120, 4
time: 2.2s","answer: wrong (B)
token: 124, 120, 4
time: 0.8s","answer: right
token: 124, 120, 4
time: 3.1s","answer: wrong (B)
token: 734, 243, 1
time: 4.4s","answer: wrong (B)
token: 256, 255, 1
time: 0.9s"
26,综观世界各国农业发展的历史与现实，农业与国民经济之间的关系大致可分为几个阶段,2个,4个,5个,3个,A,"answer: wrong (D)
token: 94, 89, 5
time: 0.3s",,"answer: wrong (D)
token: 90, 89, 1
time: 0.8s","answer: wrong (D)
token: 90, 89, 1
time: 0.6s","answer: wrong (D)
token: 869, 89, 1
time: 6.3s",,"answer: wrong (D)
token: 119, 115, 4
time: 2.2s","answer: wrong (B)
token: 303, 115, 188
time: 2.2s","answer: wrong (D)
token: 119, 115, 4
time: 2.3s","answer: wrong (B)
token: 937, 240, 1
time: 6.7s","answer: wrong (D)
token: 253, 252, 1
time: 0.7s"
27,无色透明膜的特点为,透光性差，增温效果不显著,透光性好，增温效果显著,透光性差，增温效果显著,透光性好、增温效果不显著,B,"answer: right
token: 108, 107, 1
time: 0.2s",,"answer: right
token: 108, 107, 1
time: 1.1s","answer: right
token: 101, 100, 1
time: 0.4s","answer: right
token: 359, 100, 1
time: 3.0s",,"answer: right
token: 128, 124, 4
time: 2.4s","answer: right
token: 175, 124, 51
time: 1.2s","answer: right
token: 128, 124, 4
time: 2.9s","answer: right
token: 545, 254, 1
time: 3.1s","answer: right
token: 267, 266, 1
time: 0.8s"
28,产蛋鸡日粮中钙的含量一般为,3～4%,0.8～1.0%,4%以上,1～2%,A,"answer: right
token: 91, 90, 1
time: 0.2s",,"answer: right
token: 91, 90, 1
time: 1.1s","answer: right
token: 91, 90, 1
time: 0.4s","answer: right
token: 449, 90, 1
time: 4.2s",,"answer: right
token: 111, 107, 4
time: 2.1s","answer: wrong (C)
token: 111, 107, 4
time: 0.8s","answer: right
token: 111, 107, 4
time: 2.6s","answer: right
token: 514, 237, 1
time: 3.2s","answer: wrong (D)
token: 250, 249, 1
time: 0.7s"
29,奶牛饲养标准中规定，日粮粗纤维含量最低不能低于,7%,11%,9%,13%,D,"answer: wrong (B)
token: 91, 85, 6
time: 0.3s",,"answer: right
token: 86, 85, 1
time: 4.6s","answer: wrong (C)
token: 87, 86, 1
time: 0.8s","answer: right
token: 763, 86, 1
time: 6.0s",,"answer: wrong (B)
token: 109, 105, 4
time: 3.3s","answer: wrong (B)
token: 109, 105, 4
time: 0.7s","answer: right
token: 109, 105, 4
time: 2.5s","answer: right
token: 1365, 230, 1
time: 9.5s","answer: wrong (C)
token: 243, 242, 1
time: 0.8s"
30,动物的粪尿和垫料通过堆肥使其腐熟，其产生的（）可杀死细菌和寄生虫卵，并能提供优质的有机肥料,沼气(甲烷),酶制剂,生物热,分解产物,A,"answer: wrong (C)
token: 114, 109, 5
time: 0.2s",,"answer: wrong (C)
token: 110, 109, 1
time: 1.6s","answer: wrong (C)
token: 108, 107, 1
time: 0.4s","answer: wrong (C)
token: 441, 107, 1
time: 2.7s",,"answer: wrong (C)
token: 151, 147, 4
time: 2.5s","answer: wrong (C)
token: 258, 147, 111
time: 1.5s","answer: wrong (C)
token: 151, 147, 4
time: 2.3s","answer: wrong (C)
token: 545, 257, 1
time: 2.5s","answer: wrong (C)
token: 270, 269, 1
time: 0.7s"
31,下列作物中，属于异花授粉的作物是,茄子,棉花,小麦,玉米,D,"answer: right
token: 92, 86, 6
time: 0.3s",,"answer: right
token: 87, 86, 1
time: 1.4s","answer: right
token: 78, 77, 1
time: 0.8s","answer: right
token: 459, 77, 1
time: 3.0s",,"answer: right
token: 101, 97, 4
time: 2.1s","answer: wrong (A)
token: 245, 97, 148
time: 2.2s","answer: right
token: 101, 97, 4
time: 2.5s","answer: right
token: 561, 229, 1
time: 2.6s","answer: wrong (B)
token: 242, 241, 1
time: 1.0s"
32,在我国国家的农业基本建设投资主要用于,购买农机具,治理大江大河,农业科技推广,购买化肥和农药,B,"answer: right
token: 103, 93, 10
time: 0.5s",,"answer: right
token: 94, 93, 1
time: 2.3s","answer: right
token: 87, 86, 1
time: 0.6s","answer: right
token: 395, 86, 1
time: 2.8s",,"answer: right
token: 115, 111, 4
time: 2.4s","answer: right
token: 115, 111, 4
time: 0.7s","answer: right
token: 115, 111, 4
time: 2.8s","answer: right
token: 650, 237, 1
time: 3.6s","answer: right
token: 250, 249, 1
time: 0.7s"
33,种兔繁殖力最强的年龄为,3—4岁,5—6岁,1—2岁,0.5岁,C,"answer: right
token: 94, 87, 7
time: 0.3s",,"answer: right
token: 88, 87, 1
time: 1.6s","answer: right
token: 85, 84, 1
time: 0.8s","answer: right
token: 446, 84, 1
time: 3.5s",,"answer: right
token: 107, 103, 4
time: 2.5s","answer: right
token: 107, 103, 4
time: 0.8s","answer: right
token: 107, 103, 4
time: 2.6s","answer: right
token: 598, 236, 1
time: 3.0s","answer: right
token: 249, 248, 1
time: 0.8s"
34,相邻营养级之间的能量转化效率大约是,30%,1/5,1/10,1/20,C,"answer: right
token: 93, 86, 7
time: 0.2s",,"answer: right
token: 87, 86, 1
time: 1.3s","answer: right
token: 84, 83, 1
time: 0.8s","answer: right
token: 1990, 83, 1
time: 12.1s",,"answer: right
token: 101, 97, 4
time: 2.5s","answer: wrong (B)
token: 101, 97, 4
time: 0.8s","answer: wrong (B)
token: 101, 97, 4
time: 2.6s","answer: right
token: 440, 231, 1
time: 2.0s","answer: right
token: 244, 243, 1
time: 0.8s"
35,下列动物中，能利用饲料中的粗纤维，但主要靠大肠中的微生物进行消化的动物是,牛和羊,家禽,猪,马和兔,D,"answer: right
token: 104, 97, 7
time: 0.3s",,"answer: right
token: 98, 97, 1
time: 1.3s","answer: wrong (A)
token: 91, 90, 1
time: 0.7s","answer: right
token: 494, 90, 1
time: 3.3s",,"answer: right
token: 127, 123, 4
time: 2.4s","answer: wrong (A)
token: 442, 123, 319
time: 3.2s","answer: right
token: 127, 123, 4
time: 2.5s","answer: right
token: 606, 241, 1
time: 3.0s","answer: right
token: 254, 253, 1
time: 0.6s"
36,猪妊娠期平均为,114天,285天,300天,150天,A,"answer: right
token: 86, 85, 1
time: 0.2s",,"answer: right
token: 86, 85, 1
time: 1.1s","answer: right
token: 82, 81, 1
time: 0.7s","answer: right
token: 248, 81, 1
time: 2.0s",,"answer: right
token: 90, 86, 4
time: 2.6s","answer: wrong (B)
token: 90, 86, 4
time: 0.7s","answer: right
token: 90, 86, 4
time: 2.5s","answer: right
token: 397, 224, 1
time: 1.8s","answer: right
token: 237, 236, 1
time: 1.0s"
37,生产上鱼类生长的警戒浓度一般是指水中溶解氧浓度为,2mg/L,5mg/L,1mg/L,3mg/L,A,"answer: right
token: 91, 90, 1
time: 0.2s",,"answer: right
token: 91, 90, 1
time: 3.7s","answer: right
token: 92, 91, 1
time: 0.4s","answer: wrong (D)
token: 434, 91, 0
time: 2.9s",,"answer: wrong (D)
token: 119, 115, 4
time: 2.5s","answer: wrong (B)
token: 119, 115, 4
time: 0.8s","answer: wrong (D)
token: 119, 115, 4
time: 1.7s","answer: wrong (D)
token: 807, 240, 1
time: 5.5s","answer: wrong (D)
token: 253, 252, 1
time: 0.6s"
38,就一般情况讲，我国目前农业集约经营类型主要是哪一种集约,资金,知识,技术,劳动,D,"answer: right
token: 94, 89, 5
time: 0.3s",,"answer: right
token: 90, 89, 1
time: 2.9s","answer: wrong (C)
token: 80, 79, 1
time: 0.6s","answer: right
token: 393, 79, 1
time: 2.7s",,"answer: right
token: 110, 106, 4
time: 3.3s","answer: wrong (C)
token: 110, 106, 4
time: 0.8s","answer: right
token: 110, 106, 4
time: 1.5s","answer: right
token: 513, 231, 1
time: 2.8s","answer: wrong (C)
token: 244, 243, 1
time: 0.9s"
39,下列物质中，在脱落酸生物合成途径中出现的是,异戊烯基焦磷酸,蛋氨酸,色氨酸,1-氨基环丙烷-1-羧酸,A,"answer: right
token: 99, 98, 1
time: 0.2s",,,"answer: right
token: 99, 98, 1
time: 0.6s","answer: right
token: 556, 98, 1
time: 3.7s",,"answer: right
token: 340, 132, 208
time: 5.5s","answer: right
token: 536, 132, 404
time: 3.4s","answer: right
token: 136, 132, 4
time: 1.7s","answer: right
token: 550, 252, 1
time: 2.9s","answer: right
token: 265, 264, 1
time: 0.7s"
40,从植物学上看，水稻的穗是,复穗花序,穗状花序,伞状花序,圆锥花序,D,"answer: wrong (A)
token: 96, 89, 7
time: 0.3s",,"answer: right
token: 90, 89, 1
time: 0.8s","answer: wrong (A)
token: 84, 83, 1
time: 0.7s","answer: right
token: 476, 83, 1
time: 3.0s",,"answer: right
token: 107, 103, 4
time: 3.5s","answer: right
token: 107, 103, 4
time: 0.7s","answer: right
token: 107, 103, 4
time: 1.7s","answer: right
token: 681, 239, 1
time: 3.6s","answer: wrong (A)
token: 252, 251, 1
time: 0.7s"
41,从系统的开放性上看，农业生态系统属于什么系统,开放性不确定(随时间或空间不断变化),开放性,封闭性,半开放性,B,"answer: right
token: 97, 92, 5
time: 0.3s",,"answer: right
token: 93, 92, 1
time: 2.4s","answer: right
token: 90, 89, 1
time: 0.6s","answer: right
token: 369, 89, 1
time: 2.6s",,"answer: right
token: 123, 119, 4
time: 2.6s","answer: right
token: 123, 119, 4
time: 0.7s","answer: right
token: 123, 119, 4
time: 2.5s","answer: right
token: 731, 239, 1
time: 4.6s","answer: wrong (D)
token: 252, 251, 1
time: 1.0s"
42,从根本上说，农业政策的取向是跟农业问题的变化密切相关的。在以农业调整问题为主的阶段，要采取()政策,农业榨取,产业发展,农业保护,产业结构,C,"answer: right
token: 106, 100, 6
time: 0.3s",,"answer: right
token: 101, 100, 1
time: 2.5s","answer: wrong (A)
token: 100, 99, 1
time: 0.6s","answer: right
token: 743, 99, 1
time: 4.9s",,"answer: right
token: 139, 135, 4
time: 2.2s","answer: right
token: 139, 135, 4
time: 0.7s","answer: right
token: 139, 135, 4
time: 1.7s","answer: wrong (D)
token: 1861, 247, 3
time: 13.8s","answer: wrong (A)
token: 260, 259, 1
time: 0.7s"
43,奶牛日粮结构中，精料所占比例不宜超过,80%,60%,40%,50%,B,"answer: right
token: 92, 86, 6
time: 0.2s",,"answer: right
token: 87, 86, 1
time: 1.4s","answer: wrong (C)
token: 88, 87, 1
time: 0.8s","answer: right
token: 409, 87, 1
time: 3.0s",,"answer: right
token: 102, 98, 4
time: 2.3s","answer: wrong (C)
token: 205, 98, 107
time: 1.5s","answer: right
token: 102, 98, 4
time: 1.6s","answer: right
token: 723, 230, 1
time: 4.2s","answer: wrong (C)
token: 243, 242, 1
time: 0.6s"
44,下列生物中，能进行次级生产的是,小麦,兔,水稻,蔬菜,B,"answer: right
token: 86, 82, 4
time: 0.2s",,"answer: right
token: 83, 82, 1
time: 1.4s","answer: right
token: 75, 74, 1
time: 0.8s","answer: right
token: 328, 74, 1
time: 2.4s",,"answer: right
token: 100, 96, 4
time: 3.8s","answer: right
token: 256, 96, 160
time: 1.8s","answer: right
token: 100, 96, 4
time: 2.6s","answer: right
token: 418, 224, 1
time: 2.0s","answer: right
token: 237, 236, 1
time: 0.8s"
45,乳牛干乳期一般为,80天,40天,60天,20天,C,"answer: right
token: 88, 82, 6
time: 0.2s",,"answer: right
token: 83, 82, 1
time: 1.5s","answer: right
token: 79, 78, 1
time: 0.8s","answer: right
token: 303, 78, 1
time: 1.9s",,"answer: right
token: 91, 87, 4
time: 2.7s","answer: right
token: 91, 87, 4
time: 0.9s","answer: right
token: 91, 87, 4
time: 1.8s","answer: right
token: 400, 226, 1
time: 1.9s","answer: right
token: 239, 238, 1
time: 0.7s"
46,大量用幼嫩的禾本科牧草饲喂牛羊，易引起,硝酸盐中毒,亚硝酸盐中毒,氢氰酸中毒,生物碱中毒,C,"answer: wrong (B)
token: 106, 98, 8
time: 0.3s",,"answer: right
token: 99, 98, 1
time: 2.5s","answer: wrong (A)
token: 93, 92, 1
time: 0.6s","answer: right
token: 1043, 92, 1
time: 6.8s",,"answer: wrong (B)
token: 136, 132, 4
time: 2.1s","answer: wrong (B)
token: 225, 132, 93
time: 1.8s","answer: wrong (B)
token: 136, 132, 4
time: 1.5s","answer: wrong (A)
token: 838, 248, 1
time: 4.8s","answer: wrong (A)
token: 261, 260, 1
time: 0.7s"
