,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
10,苏联政治经济体制的形成是在,十月革命取得胜利之后,60年代,第二次世界大战后初期,30年代,C,"answer: wrong (D)
token: 94, 88, 6
time: 0.3s",,,"answer: wrong (A)
token: 84, 83, 1
time: 0.8s",,,,,"answer: wrong (D)
token: 113, 109, 4
time: 2.2s","answer: wrong (A)
token: 656, 233, 1
time: 4.4s",
11,90年代日本经济衰退的实质原因是什么,体制性危机,政治局势动荡不安,日元升值,政府经济政策失误,A,"answer: right
token: 89, 88, 1
time: 0.3s",,,"answer: right
token: 88, 87, 1
time: 0.9s",,,,,"answer: right
token: 116, 112, 4
time: 2.5s","answer: right
token: 1913, 237, 1
time: 16.5s",
12,截至2013年12月11日，我国加入WTO已经12年。12年来的实践证明并且将进一步证明，中国加入WTO a. 拓展了我国对外开放的空间，提高了我国对外开放的水平；b. 促进了国内产业的发展，有助于完善我国的市场经济体制；c. 扩大了我国对外贸易顺差，维护了我国国家利益；d. 减少了贸易摩擦，降低了经济和金融风险,ab,cd,bd,ac,A,"answer: right
token: 166, 163, 3
time: 0.3s",,,"answer: right
token: 160, 159, 1
time: 0.8s",,,,,"answer: right
token: 227, 223, 4
time: 2.9s","answer: right
token: 1376, 303, 1
time: 10.4s",
13,标志着欧盟共同外交与安全政策正式形成的是,里斯本条约生效,马斯特里赫条约生效,单一欧洲法令生效,欧洲联盟条约生效,B,"answer: right
token: 107, 97, 10
time: 0.3s",,,"answer: wrong (D)
token: 92, 91, 1
time: 0.6s",,,,,"answer: right
token: 134, 130, 4
time: 3.1s","answer: right
token: 1686, 243, 1
time: 13.5s",
14,英国最早的定期报刊是1621年出版的,《各地见闻》,《报纸》,《新闻报道》,《每周新闻》,D,"answer: right
token: 99, 92, 7
time: 0.3s",,,"answer: right
token: 88, 87, 1
time: 0.5s",,,,,"answer: right
token: 115, 111, 4
time: 1.5s","answer: right
token: 678, 232, 1
time: 4.5s",
15,日本谋求政治大国战略口号提出的标志是1983年的“政治总决算路线”，提出者是谁,小渊惠三,中曾根康弘,铃木善幸,宫泽喜一,B,"answer: right
token: 111, 104, 7
time: 0.3s",,,"answer: right
token: 102, 101, 1
time: 0.7s",,,,,"answer: right
token: 137, 133, 4
time: 2.6s","answer: right
token: 613, 249, 1
time: 3.7s",
16,在192个联合国成员中共有多少个国家签署了《不扩散核武器条约》,188,150,160,192,A,"answer: right
token: 93, 92, 1
time: 0.2s",,,"answer: right
token: 94, 93, 1
time: 0.7s",,,,,"answer: right
token: 106, 102, 4
time: 2.6s","answer: right
token: 795, 232, 1
time: 5.5s",
17,下列不属于金砖国家的是,俄罗斯,澳大利亚,印度,巴西,B,"answer: right
token: 79, 78, 1
time: 0.2s",,,"answer: right
token: 72, 71, 1
time: 0.7s",,,,,"answer: right
token: 101, 97, 4
time: 2.5s","answer: right
token: 389, 222, 1
time: 2.2s",
18,第一次不结盟国家和政府首脑会议在哪里召开的,北京,开罗,贝尔格莱德,孟买,C,"answer: right
token: 96, 87, 9
time: 0.3s",,,"answer: right
token: 81, 80, 1
time: 0.9s",,,,,"answer: right
token: 112, 108, 4
time: 2.5s","answer: right
token: 392, 230, 1
time: 2.0s",
19,以建立没有贸易壁垒的世界市场为宗旨的是,世界贸易组织,欧洲自由贸易区,世界银行,国际货币基金组织,A,"answer: right
token: 89, 88, 1
time: 0.2s",,,"answer: right
token: 82, 81, 1
time: 0.7s",,,,,"answer: right
token: 125, 121, 4
time: 1.7s","answer: right
token: 431, 234, 1
time: 1.9s",
20,关于军事因素在世界政治中的作用，错误描述是哪一个,与以往相比，对世界政治的作用更复杂了,军事实力的对比状态，是世界政治力量对比关系的基础,冷战后对世界政治的影响较以往有所下降,在经济全球化背景下，军事因素对世界政治的影响已经边缘化,D,"answer: right
token: 126, 125, 1
time: 0.3s",,,"answer: right
token: 122, 121, 1
time: 0.8s",,,,,"answer: right
token: 187, 183, 4
time: 1.7s","answer: right
token: 802, 270, 1
time: 5.3s",
21,西沙群岛中最大的岛屿是,甘泉岛,永兴岛,太平岛,华阳礁,B,"answer: right
token: 90, 83, 7
time: 0.3s",,,"answer: right
token: 79, 78, 1
time: 0.6s",,,,,"answer: right
token: 107, 103, 4
time: 2.4s","answer: right
token: 462, 230, 1
time: 2.3s",
22,美国工业产值首次跃居世界第一位是哪一年,1865年,1947年,1890年,1918年,C,"answer: right
token: 104, 96, 8
time: 0.3s",,,"answer: right
token: 93, 92, 1
time: 0.8s",,,,,"answer: right
token: 105, 101, 4
time: 2.4s","answer: right
token: 537, 236, 1
time: 3.1s",
23,1944年7月在美国布雷顿森林城召开了什么会议,关税和贸易会议,联合国大会,国际货币金融会议,世界银行大会,C,"answer: right
token: 105, 97, 8
time: 0.3s",,,"answer: right
token: 91, 90, 1
time: 0.8s",,,,,"answer: right
token: 122, 118, 4
time: 2.4s","answer: right
token: 458, 239, 1
time: 2.1s",
24,马来西亚目前最有影响的日报是,华文《南洋商报》,华文《新明日报》,英文《新海峡日报》,马来文《马来使者报》,C,"answer: wrong (A)
token: 104, 103, 1
time: 0.3s",,,"answer: wrong (A)
token: 99, 98, 1
time: 0.8s",,,,,"answer: right
token: 124, 120, 4
time: 2.9s","answer: wrong (A)
token: 4612, 246, 1
time: 35.1s",
25,提出“多边自主外交”方针的是,法国戴高乐政府,日本田中角荣政府,西德科尔政府,英国撒切尔政府,B,"answer: wrong (A)
token: 93, 92, 1
time: 0.2s",,,"answer: wrong (A)
token: 89, 88, 1
time: 0.7s",,,,,"answer: right
token: 120, 116, 4
time: 2.7s","answer: right
token: 711, 238, 1
time: 5.2s",
26,目前世界上综合实力最强、影响最大的国际广播电台是,美国之音电台,俄罗斯之声电台,德国之声电台,英国广播公司,A,"answer: wrong (D)
token: 99, 92, 7
time: 0.4s",,,"answer: wrong (D)
token: 91, 90, 1
time: 0.7s",,,,,"answer: right
token: 124, 120, 4
time: 2.4s","answer: wrong (D)
token: 536, 243, 1
time: 3.0s",
27,2008年12月，俄罗斯国家杜马和联邦委员会相继通过了俄罗斯总统梅德韦捷夫提请的俄联邦宪法修正案，规定将总统任期延长至,6年,5年,8年,7年,A,"answer: right
token: 113, 112, 1
time: 0.2s",,,"answer: right
token: 113, 112, 1
time: 0.7s",,,,,"answer: right
token: 151, 147, 4
time: 2.4s","answer: right
token: 509, 258, 1
time: 2.8s",
28,莫斯科电视中心和列宁格勒电视中心实验播映是在,1939,1938,1937,1936,B,"answer: wrong (D)
token: 97, 96, 1
time: 0.2s",,,"answer: right
token: 92, 91, 1
time: 0.8s",,,,,"answer: wrong (A)
token: 106, 102, 4
time: 2.6s","answer: right
token: 1393, 234, 1
time: 9.3s",
29,与中国在黄岩岛问题上有领土争议的国家是,泰国,菲律宾,马来西亚,越南,B,"answer: right
token: 95, 88, 7
time: 0.3s",,,"answer: right
token: 79, 78, 1
time: 0.6s",,,,,"answer: right
token: 109, 105, 4
time: 2.5s","answer: right
token: 464, 229, 1
time: 2.5s",
30,以下重要事件中直接导致雅尔塔体系瓦解的有,美国提出“超越遏制”战略,苏联全面改革,欧洲联盟建立,两德统一,D,"answer: right
token: 99, 98, 1
time: 0.2s",,,"answer: right
token: 88, 87, 1
time: 0.6s",,,,,"answer: right
token: 130, 126, 4
time: 2.3s","answer: right
token: 1721, 241, 1
time: 14.0s",
31,1971年标志着以美元为核心的什么体系开始瓦解,美欧联盟体系,国际贸易体系,雅尔塔体系,布雷顿森林体系,D,"answer: right
token: 106, 97, 9
time: 0.3s",,,"answer: right
token: 92, 91, 1
time: 0.7s",,,,,"answer: right
token: 127, 123, 4
time: 3.2s","answer: right
token: 492, 240, 1
time: 2.9s",
32,1998年12月，英法联合发表了（）正式提出欧洲共同防务建设的目标,欧洲防务合作宣言,欧洲经济同盟,欧洲军事同盟年,欧洲警务合作宣言,A,"answer: right
token: 111, 110, 1
time: 0.2s",,,"answer: right
token: 104, 103, 1
time: 0.3s",,,,,"answer: right
token: 145, 141, 4
time: 2.4s","answer: right
token: 678, 249, 1
time: 4.4s",
33,和谐世界理论首次提出的时间是,2005年7月，胡锦涛出访俄罗斯,2006年8月，胡锦涛在中央外事工作会议上的重要讲话,2005年9月，胡锦涛在联合国总部发表演讲,2005年4月，胡锦涛参加雅加达亚非峰会,C,"answer: right
token: 137, 136, 1
time: 0.2s",,,"answer: right
token: 138, 137, 1
time: 0.7s",,,,,"answer: wrong (D)
token: 182, 178, 4
time: 2.7s","answer: right
token: 637, 276, 1
time: 3.0s",
34,推动国际政治发展的决定性力量应该是,军事实力,生产力,综合国力,正义和道德的力量,B,"answer: right
token: 91, 86, 5
time: 0.3s",,,"answer: wrong (C)
token: 80, 79, 1
time: 0.3s",,,,,"answer: right
token: 108, 104, 4
time: 2.6s","answer: right
token: 1229, 231, 1
time: 9.5s",
35,美国首先提出把人权作为外交政策基本原则的是哪一任政府,卡特政府,肯尼迪政府,克林顿政府,艾森豪威尔政府,A,"answer: right
token: 98, 97, 1
time: 0.2s",,,"answer: right
token: 90, 89, 1
time: 0.7s",,,,,"answer: right
token: 128, 124, 4
time: 2.1s","answer: right
token: 463, 242, 1
time: 2.1s",
36,什么是对世界经济政治最高层次的判断,格局特征,世界的基本矛盾,世界形势,时代主题,D,"answer: right
token: 86, 81, 5
time: 0.3s",,,"answer: wrong (B)
token: 77, 76, 1
time: 0.8s",,,,,"answer: right
token: 110, 106, 4
time: 2.2s","answer: right
token: 707, 229, 1
time: 4.4s",
37,世界上开办最早的国际新闻电视机构是=,美国的世界电视网,美国的有线电视新闻网,英国的世界电视台,香港的卫星电视台,B,"answer: wrong (C)
token: 96, 95, 1
time: 0.2s",,,"answer: right
token: 87, 86, 1
time: 0.9s",,,,,"answer: right
token: 127, 123, 4
time: 2.3s","answer: right
token: 1128, 237, 1
time: 7.5s",
38,在区域经济集团组织中，经济一体化程度最高的是,欧洲联盟,东南亚国家联盟,北美自由贸易区,西非国家经济共同体,A,"answer: right
token: 91, 90, 1
time: 0.2s",,,"answer: right
token: 88, 87, 1
time: 0.8s",,,,,"answer: right
token: 127, 123, 4
time: 3.0s","answer: right
token: 503, 236, 1
time: 2.7s",
39,银保监会数据显示，2022年全年我国脱贫人口小额信贷累计发放933.5亿元，同比,增长18%,增长15%,增长24%,增长22%,C,"answer: wrong (A)
token: 112, 111, 1
time: 0.2s",,,"answer: wrong (D)
token: 107, 106, 1
time: 1.2s",,,,,"answer: right
token: 128, 124, 4
time: 2.2s","answer: right
token: 503, 242, 1
time: 2.7s",
40,目前全球大约有6.5万家跨国公司。它们大约控制着世界生产总值的30%、世界贸易的60%、技术研究开发及技术转移的80%，以及海外直接投资的90%。跨国公司在当今世界经济中具有的重要作用是a促进了各国基本经济制度的确立；b为国际贸易制定了一系列基本原则和协定；c推动了国际分工水平的提高；d促进了资金、技术、人力、商品等在全球范围内的流动,cd,ab,bc,ad,A,"answer: right
token: 165, 162, 3
time: 0.3s",,,"answer: wrong (D)
token: 169, 168, 1
time: 0.8s",,,,,"answer: right
token: 240, 236, 4
time: 2.4s","answer: right
token: 731, 311, 1
time: 3.7s",
41,人类对地球环境产生大量影响以前，地球二氧化碳升高的主要原因是,板块运动,海洋变化,火山喷发,水汽输送,C,"answer: right
token: 101, 93, 8
time: 0.3s",,,"answer: right
token: 87, 86, 1
time: 0.7s",,,,,"answer: right
token: 123, 119, 4
time: 2.2s","answer: right
token: 1129, 238, 1
time: 7.7s",
42,意大利最大的通讯社是,共同社,时事社,罗斯塔社,安莎社,D,"answer: right
token: 90, 84, 6
time: 0.3s",,,"answer: right
token: 75, 74, 1
time: 0.7s",,,,,"answer: right
token: 100, 96, 4
time: 2.5s","answer: right
token: 355, 225, 1
time: 1.6s",
43,决定组成欧洲共同体的条约是,布鲁塞尔条约,罗马条约,欧洲煤钢共同体条约,欧洲原子能联营条约,A,"answer: wrong (B)
token: 102, 95, 7
time: 0.3s",,,"answer: wrong (B)
token: 90, 89, 1
time: 0.4s",,,,,"answer: right
token: 126, 122, 4
time: 2.5s","answer: wrong (B)
token: 581, 239, 1
time: 2.9s",
44,世界上地理范围最大的区域经济合作组织是,不结盟运动,联合国,亚太经济合作组织,欧洲联盟,C,"answer: right
token: 88, 87, 1
time: 0.2s",,,"answer: right
token: 80, 79, 1
time: 0.7s",,,,,"answer: right
token: 116, 112, 4
time: 2.9s","answer: right
token: 549, 231, 1
time: 3.3s",
45,美国率多国部队与伊拉克之间的第一次海湾战争是在哪一年发生的,1999,2003,1974,1990,D,"answer: right
token: 103, 96, 7
time: 0.3s",,,"answer: right
token: 93, 92, 1
time: 0.9s",,,,,"answer: right
token: 113, 109, 4
time: 2.6s","answer: right
token: 510, 236, 1
time: 2.8s",
46,新军事革命是以什么为核心,武器装备革命性变化,军事信息化,编制体制改革日益深化,作战理论不断创新,B,"answer: right
token: 91, 85, 6
time: 0.3s",,,"answer: right
token: 83, 82, 1
time: 0.8s",,,,,"answer: right
token: 116, 112, 4
time: 2.7s","answer: right
token: 535, 232, 1
time: 2.7s",
47,美国是在哪一年宣布退出《反导条约》的,2001年,1972年,2005年,2000年,A,"answer: right
token: 98, 97, 1
time: 0.2s",,,"answer: right
token: 93, 92, 1
time: 0.7s",,,,,"answer: right
token: 104, 100, 4
time: 2.5s","answer: right
token: 494, 235, 1
time: 2.4s",
48,现存历史最为悠久而且从未改变名称的国际通讯社是,路透社,美联社,合众国际社,法新社,A,"answer: right
token: 93, 92, 1
time: 0.2s",,,"answer: right
token: 85, 84, 1
time: 0.8s",,,,,"answer: right
token: 111, 107, 4
time: 2.4s","answer: wrong (B)
token: 2126, 238, 1
time: 16.8s",
49,提出“地中海联盟”的是,布什,萨科齐,布莱尔,安南,B,"answer: right
token: 83, 82, 1
time: 0.2s",,,"answer: right
token: 76, 75, 1
time: 1.5s",,,,,"answer: right
token: 98, 94, 4
time: 2.6s","answer: right
token: 446, 228, 1
time: 2.2s",
50,哪项不是战后日本经济崛起的外部因素,50到70年代中期世界市场的粮食、燃料和原料充足低廉,贸易立国与科教兴国,朝战和越战军事订货刺激日本经济,冷战的加剧使美国对日政策转向积极扶持,B,"answer: right
token: 124, 123, 1
time: 0.2s",,,"answer: right
token: 120, 119, 1
time: 0.9s",,,,,"answer: right
token: 167, 163, 4
time: 2.7s","answer: right
token: 578, 268, 1
time: 2.8s",
51,中国目前面临的最主要安全问题应该是,环境安全,政治安全,经济安全,军事安全,A,"answer: wrong (B)
token: 89, 83, 6
time: 0.3s",,,"answer: wrong (B)
token: 75, 74, 1
time: 0.5s",,,,,"answer: wrong (B)
token: 105, 101, 4
time: 2.4s","answer: wrong (B)
token: 588, 226, 1
time: 4.6s",
52,90年代后期，德国发行量最大的日报是,《世界报》,《南德意志报》,《西德意志报》,《图片报》,D,"answer: right
token: 101, 94, 7
time: 0.3s",,,"answer: right
token: 88, 87, 1
time: 0.8s",,,,,"answer: right
token: 113, 109, 4
time: 3.0s","answer: right
token: 507, 234, 1
time: 3.0s",
53,正式启动欧洲一体化的计划是,白里安计划,艾森豪威尔计划,舒曼计划,马歇尔计划,C,"answer: right
token: 97, 90, 7
time: 0.3s",,,"answer: right
token: 82, 81, 1
time: 0.6s",,,,,"answer: right
token: 115, 111, 4
time: 2.6s","answer: right
token: 435, 231, 1
time: 2.6s",
54,东南亚金融危机发生于哪一年,1997年,2007年,1982年,2003年,A,"answer: right
token: 90, 89, 1
time: 0.2s",,,"answer: right
token: 89, 88, 1
time: 0.5s",,,,,"answer: right
token: 99, 95, 4
time: 2.3s","answer: right
token: 451, 231, 1
time: 2.0s",
55,下列关于古巴导弹危机的正确描述是哪一个,发生在1962年,在该危机中，美苏关系到了核大战的边缘,主要是美国和古巴之间的战争危机,主要是美国和苏联之间的战争危机,C,"answer: wrong (A)
token: 109, 108, 1
time: 0.2s",,,"answer: wrong (A)
token: 106, 105, 1
time: 0.7s",,,,,"answer: wrong (A)
token: 362, 148, 214
time: 5.3s","answer: wrong (B)
token: 3175, 253, 1
time: 24.7s",
56,美国同中华人民共和国正式建立外交关系是在哪一届总统任期,尼克松总统时期,里根总统时期,卡特总统时期,肯尼迪总统时期,C,"answer: right
token: 105, 98, 7
time: 0.3s",,,"answer: right
token: 90, 89, 1
time: 0.6s",,,,,"answer: right
token: 131, 127, 4
time: 2.6s","answer: right
token: 451, 243, 1
time: 2.1s",
57,在国际货币基金组织和国际复兴开发银行内部，各国投票权力大小均实行,按资金份额多少决定的原则,按各国国民生产总值一定比例的原则,按各国自愿认购资金份额的原则,按各国人均国民生产总值多少决定的原则,A,"answer: right
token: 113, 112, 1
time: 0.3s",,,"answer: right
token: 114, 113, 1
time: 0.7s",,,,,"answer: right
token: 166, 162, 4
time: 1.4s","answer: right
token: 622, 264, 1
time: 3.9s",
58,阿拉伯世界最有影响的通讯社是,伊拉克通讯社,科威特通讯社,沙特通讯社,中东通讯社,D,"answer: right
token: 96, 90, 6
time: 0.3s",,,"answer: right
token: 83, 82, 1
time: 0.5s",,,,,"answer: right
token: 119, 115, 4
time: 2.6s","answer: right
token: 519, 235, 1
time: 2.4s",
59,第一次不结盟国家和政府首脑会议在哪召开的,万隆,贝尔格莱德,日内瓦,孟买,B,"answer: right
token: 97, 88, 9
time: 0.6s",,,"answer: right
token: 83, 82, 1
time: 0.8s",,,,,"answer: right
token: 114, 110, 4
time: 1.5s","answer: right
token: 451, 233, 1
time: 2.3s",
60,西方世界历史最久、影响最大的公共广播电视机构是,英国广播电台,德国电视二台,法国广播电台,德国公共广播联盟,A,"answer: right
token: 95, 94, 1
time: 0.3s",,,"answer: right
token: 90, 89, 1
time: 0.7s",,,,,"answer: right
token: 122, 118, 4
time: 2.5s","answer: right
token: 497, 240, 1
time: 2.6s",
61,赫鲁晓夫当政时期，基于苏联经济军事力量与美国存在的差距和巩固自身权力考虑，推行了,无限扩张战略,全球争霸战略,超越遏制战略,有限扩张战略,D,"answer: wrong (B)
token: 111, 104, 7
time: 0.3s",,,"answer: wrong (B)
token: 101, 100, 1
time: 0.4s",,,,,"answer: right
token: 148, 144, 4
time: 2.7s","answer: right
token: 686, 250, 1
time: 4.2s",
62,第三世界的概念是谁创立的,邓小平,尼赫鲁,阿尔弗雷德.索维,毛泽东,C,"answer: right
token: 101, 89, 12
time: 0.3s",,,"answer: right
token: 80, 79, 1
time: 0.6s",,,,,"answer: right
token: 113, 109, 4
time: 2.3s","answer: right
token: 480, 230, 1
time: 2.3s",
63,不属于欧盟司法警务合作的是,保护欧盟的财产利益,反对恐怖主义,反对种族主义,建立欧洲军团,D,"answer: right
token: 95, 87, 8
time: 0.2s",,,"answer: right
token: 84, 83, 1
time: 0.7s",,,,,"answer: right
token: 120, 116, 4
time: 2.6s","answer: right
token: 725, 233, 1
time: 4.9s",
64,当今世界充当国际政治行为体的国家共有,170多个,200多个,100个,190多个,A,"answer: wrong (D)
token: 90, 89, 1
time: 0.2s",,,"answer: right
token: 87, 86, 1
time: 0.8s",,,,,"answer: wrong (D)
token: 101, 97, 4
time: 2.7s","answer: wrong (D)
token: 558, 229, 1
time: 3.8s",
65,经济全球化与区域集团化两者之间的关系是什么,有一定矛盾，但从长远看是相互促进、并行不悖,有一定联系，但从长远看是相互对立的,无矛盾，完全一致,无联系，平行发展,A,"answer: right
token: 109, 108, 1
time: 0.2s",,,"answer: right
token: 108, 107, 1
time: 0.5s",,,,,"answer: right
token: 152, 148, 4
time: 2.3s","answer: right
token: 533, 253, 1
time: 2.7s",
66,2007年美国国内生产总值是多少美元,12万亿,13.98万亿,13．5万亿,15万亿,B,"answer: right
token: 99, 90, 9
time: 0.4s",,,"answer: right
token: 94, 93, 1
time: 0.7s",,,,,"answer: right
token: 108, 104, 4
time: 2.5s","answer: right
token: 3098, 238, 1
time: 25.6s",
67,“冷战“的实质含义是,经济制裁,政治对抗,相对于战争的政治军事对抗方式,美苏之争,C,"answer: right
token: 88, 87, 1
time: 0.2s",,,"answer: right
token: 83, 82, 1
time: 0.8s",,,,,"answer: right
token: 112, 108, 4
time: 2.7s","answer: right
token: 574, 232, 1
time: 3.6s",
68,2002年9月，美国在那一份文件中明确提出要对恐怖份子及其支持者进行“先发制人”的军事打击,《网络中心战报告》,《美国安全战略报告》,《反导条约》,《核态势评估报告》,B,"answer: right
token: 119, 118, 1
time: 0.2s",,,"answer: right
token: 114, 113, 1
time: 0.6s",,,,,"answer: right
token: 151, 147, 4
time: 2.8s","answer: right
token: 570, 257, 1
time: 3.0s",
69,关于欧美关系的说法最恰当是,欧盟是美国的附庸,矛盾多于共同利益,共同利益多于矛盾,两者是亲密盟友,C,"answer: right
token: 105, 96, 9
time: 0.3s",,,"answer: right
token: 89, 88, 1
time: 0.6s",,,,,"answer: right
token: 127, 123, 4
time: 2.3s","answer: right
token: 776, 240, 1
time: 6.0s",
70,第二次世界大战后局部战争主要发生在,社会主义国家之间,亚非拉地区,欧洲,社会主义同资本主义国家之间,B,"answer: right
token: 97, 90, 7
time: 0.3s",,,"answer: right
token: 83, 82, 1
time: 0.8s",,,,,"answer: right
token: 121, 117, 4
time: 2.4s","answer: right
token: 533, 232, 1
time: 3.0s",
71,十五国集团于哪一年成立,2001年,2003年,1989年,1980年,C,"answer: wrong (B)
token: 99, 91, 8
time: 0.3s",,,"answer: right
token: 88, 87, 1
time: 0.7s",,,,,"answer: right
token: 96, 92, 4
time: 2.8s","answer: right
token: 442, 230, 1
time: 2.0s",
72,下列关于“9·11”事件的正确描述是哪一个,是正义力量对美国霸权的合法打击,是典型的恐怖主义行为，反映出国际恐怖组织的严重危害性,是伊斯兰世界与美国之间的战争,世界人民普遍支持这种打击美帝国主义的正义行为,B,"answer: right
token: 118, 117, 1
time: 0.2s",,,"answer: right
token: 116, 115, 1
time: 0.8s",,,,,"answer: right
token: 180, 176, 4
time: 2.5s","answer: right
token: 599, 263, 1
time: 2.9s",
73,埃及是目前非洲新闻事业最发达的国家，该国出版的非洲第一大报是,《共和国报》,《金字塔报》,《埃及信使报》,《新闻报》,B,"answer: right
token: 110, 103, 7
time: 0.3s",,,"answer: right
token: 96, 95, 1
time: 0.5s",,,,,"answer: right
token: 133, 129, 4
time: 2.4s","answer: right
token: 508, 242, 1
time: 2.2s",
74,北美殖民地时期，因反对殖民当局而酿成“曾格案件”的报纸是,《纽约周报》,《波士顿新闻信》,《新英格兰报》,《国内外公共事件》,A,"answer: right
token: 106, 105, 1
time: 0.2s",,,"answer: wrong (D)
token: 103, 102, 1
time: 0.8s",,,,,"answer: right
token: 139, 135, 4
time: 2.5s","answer: right
token: 553, 245, 1
time: 2.8s",
75,17世纪英国资产阶级革命是英国历史上的一个分水岭，主要是因为它,处死了封建君主,改变了社会性质,创立了议会民主制,确立了君主立宪制度,B,"answer: right
token: 106, 105, 1
time: 0.2s",,,"answer: right
token: 104, 103, 1
time: 0.7s",,,,,"answer: right
token: 137, 133, 4
time: 2.4s","answer: right
token: 1068, 249, 1
time: 7.4s",
76,突出表明西欧对南北问题采取较为开明立场的是,洛美协定,第四点计划,赫尔辛基最后文件,福田主义,A,"answer: right
token: 97, 96, 1
time: 0.2s",,,"answer: right
token: 89, 88, 1
time: 0.7s",,,,,"answer: right
token: 119, 115, 4
time: 2.5s","answer: right
token: 748, 239, 1
time: 5.4s",
77,世界上第一个建立共和制的资本主义国家是哪一个,荷兰,英国,法国,美国,D,"answer: right
token: 84, 83, 1
time: 0.2s",,,"answer: right
token: 75, 74, 1
time: 1.0s",,,,,"answer: wrong (A)
token: 105, 101, 4
time: 2.4s","answer: wrong (A)
token: 708, 225, 1
time: 5.1s",
