,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
10,车辆在雨天临时停车时，应开启什么灯,危险报警闪光灯,前后雾灯,倒车灯,前大灯,A,"answer: right
token: 96, 95, 1
time: 0.2s",,"answer: right
token: 96, 95, 1
time: 1.5s","answer: right
token: 86, 85, 1
time: 0.7s",,,"answer: right
token: 116, 112, 4
time: 2.5s","answer: right
token: 116, 112, 4
time: 0.9s","answer: right
token: 116, 112, 4
time: 1.7s"
11,遇伤者被压于车轮或货物下时，错误的方法是,拉曳伤者的肢体,搬掉货物,设法移动车辆,采取相应的救护方法,A,"answer: right
token: 98, 97, 1
time: 0.2s",,"answer: right
token: 98, 97, 1
time: 0.9s","answer: right
token: 94, 93, 1
time: 0.6s",,,"answer: right
token: 128, 124, 4
time: 3.5s","answer: right
token: 128, 124, 4
time: 1.1s","answer: right
token: 128, 124, 4
time: 2.7s"
12,驾驶机动车通过没有交通信号和管理人员的铁路道口怎样通过,停车确认安全后通过,加速尽快通过,空挡滑行通过,适当减速通过,A,"answer: right
token: 99, 98, 1
time: 0.2s",,"answer: right
token: 99, 98, 1
time: 0.9s","answer: right
token: 94, 93, 1
time: 0.6s",,,"answer: right
token: 133, 129, 4
time: 4.2s","answer: right
token: 133, 129, 4
time: 1.1s","answer: right
token: 133, 129, 4
time: 2.7s"
13,行车中遇到后方车辆要求超车时，应怎样做,保持原有车速行驶,靠右侧加速行驶,及时减速、观察后靠右行驶让行,不让行,C,"answer: right
token: 102, 101, 1
time: 0.2s",,"answer: right
token: 102, 101, 1
time: 1.1s","answer: right
token: 98, 97, 1
time: 0.8s",,,"answer: right
token: 132, 128, 4
time: 2.5s","answer: right
token: 132, 128, 4
time: 0.7s","answer: right
token: 132, 128, 4
time: 2.6s"
14,前轮胎爆裂已出现转向时，驾驶人不要过度矫正，应在控制住方向的情况下，应怎样做，使车辆缓慢减速,采取紧急制动,抢挂低速挡减速后，使用驻车制动,轻踏制动踏板,迅速踏下制动踏板,C,"answer: right
token: 130, 121, 9
time: 0.3s",,"answer: right
token: 122, 121, 1
time: 0.5s","answer: right
token: 122, 121, 1
time: 0.7s",,,"answer: right
token: 175, 171, 4
time: 3.0s","answer: wrong (A)
token: 481, 171, 310
time: 3.1s","answer: right
token: 175, 171, 4
time: 2.8s"
15,驶入高速公路的收费口时，应选择怎样的入口,暂停服务,车辆多,绿灯亮,红灯亮,C,"answer: right
token: 98, 92, 6
time: 0.3s",,"answer: right
token: 93, 92, 1
time: 0.8s","answer: right
token: 83, 82, 1
time: 0.7s",,,"answer: right
token: 114, 110, 4
time: 2.4s","answer: right
token: 114, 110, 4
time: 0.7s","answer: right
token: 114, 110, 4
time: 3.4s"
16,同车道行驶的车辆前方遇到下列哪种车辆不得超车,小型货车,执行任务的救护车,超载大型货车,大型客车,B,"answer: right
token: 92, 91, 1
time: 0.2s",,"answer: right
token: 92, 91, 1
time: 0.7s","answer: right
token: 88, 87, 1
time: 0.8s",,,"answer: right
token: 121, 117, 4
time: 2.3s","answer: right
token: 121, 117, 4
time: 0.9s","answer: right
token: 121, 117, 4
time: 1.9s"
17,机动车在夜间行驶如何保证安全,以超过规定的最高速度行驶,保持现有速度行驶,以设计最高速行驶,降低速度，谨慎驾驶,D,"answer: right
token: 92, 91, 1
time: 0.3s",,"answer: right
token: 92, 91, 1
time: 0.8s","answer: right
token: 88, 87, 1
time: 0.4s",,,"answer: right
token: 132, 128, 4
time: 2.6s","answer: right
token: 132, 128, 4
time: 0.7s","answer: right
token: 132, 128, 4
time: 3.0s"
18,赵某（持有A2驾驶证）驾驶大型卧铺客车，行驶至叶城县境风219国道226公里加215米处转弯路段时，坠入道路一侧山沟，致16人死，26人受伤。赵某的主要违法行为是什么,疲劳驾驶,客车超员,驾驶逾期未检验的机动车,驾驶与准驾车型不符的机动车,D,"answer: right
token: 164, 151, 13
time: 0.4s",,"answer: right
token: 152, 151, 1
time: 0.9s","answer: wrong (A)
token: 154, 153, 1
time: 0.8s",,,"answer: right
token: 204, 200, 4
time: 2.4s","answer: right
token: 399, 200, 199
time: 2.4s","answer: wrong (B)
token: 204, 200, 4
time: 2.5s"
19,进入左侧道路超车，无法保证与正常行驶前车的横向安全间距时，应怎样做,谨慎超越,并行一段距离后再超越,放弃超车,加速超越,C,"answer: right
token: 109, 102, 7
time: 0.3s",,"answer: right
token: 103, 102, 1
time: 0.7s","answer: right
token: 96, 95, 1
time: 0.6s",,,"answer: right
token: 133, 129, 4
time: 2.2s","answer: right
token: 133, 129, 4
time: 0.9s","answer: right
token: 133, 129, 4
time: 3.1s"
20,驾驶机动车遇有前方交叉路口交通阻塞时怎么办,依次停在路口外等候,从前车两侧穿插通过,进入路口内等候,可借对向车道通过,A,"answer: right
token: 101, 100, 1
time: 0.2s",,"answer: right
token: 101, 100, 1
time: 0.7s","answer: right
token: 100, 99, 1
time: 0.5s",,,"answer: right
token: 135, 131, 4
time: 2.1s","answer: right
token: 135, 131, 4
time: 0.8s","answer: right
token: 135, 131, 4
time: 1.8s"
21,机动车驾驶人初次申领驾驶证后的实习期是多长时间,18个月,6个月,12个月,16个月,C,"answer: right
token: 93, 87, 6
time: 0.4s",,"answer: right
token: 88, 87, 1
time: 0.8s","answer: wrong (B)
token: 88, 87, 1
time: 0.7s",,,"answer: right
token: 111, 107, 4
time: 2.8s","answer: right
token: 111, 107, 4
time: 0.8s","answer: right
token: 111, 107, 4
time: 3.5s"
22,会车前选择的交会位置不理想时，应怎样做,向左占道，让对方减速让行,打开前照灯，示意对方停车让行,加速选择理想位置,减速、低速会车或停车让行,D,"answer: right
token: 114, 113, 1
time: 0.2s",,"answer: right
token: 114, 113, 1
time: 0.4s","answer: right
token: 109, 108, 1
time: 0.6s",,,"answer: right
token: 139, 135, 4
time: 2.8s","answer: right
token: 139, 135, 4
time: 0.7s","answer: right
token: 139, 135, 4
time: 2.9s"
23,汽车牵引发生故障的机动车时，最高时速不准超过,40公里/小时,30公里/小时,50公里/小时,60公里/小时,B,"answer: right
token: 106, 98, 8
time: 0.4s",,"answer: right
token: 99, 98, 1
time: 1.0s","answer: wrong (A)
token: 98, 97, 1
time: 0.3s",,,"answer: right
token: 120, 116, 4
time: 2.1s","answer: right
token: 120, 116, 4
time: 0.8s","answer: right
token: 120, 116, 4
time: 2.3s"
24,防抱死制动系统（ABS）在什么情况下可以最大限度发挥制动器效能,紧急制动,间歇制动,持续制动,缓踏制动踏板,A,"answer: right
token: 98, 97, 1
time: 0.2s",,"answer: right
token: 98, 97, 1
time: 0.5s","answer: right
token: 97, 96, 1
time: 0.5s",,,"answer: right
token: 127, 123, 4
time: 2.5s","answer: right
token: 127, 123, 4
time: 1.1s","answer: right
token: 127, 123, 4
time: 2.7s"
25,车辆通过凹凸路面时，应怎样做,低速缓慢平稳通过,依靠惯性加速冲过,挂空挡滑行驶过,保持原速通过,A,"answer: right
token: 98, 97, 1
time: 0.2s",,"answer: right
token: 98, 97, 1
time: 0.7s","answer: right
token: 93, 92, 1
time: 0.5s",,,"answer: right
token: 129, 125, 4
time: 2.8s","answer: right
token: 129, 125, 4
time: 0.7s","answer: right
token: 129, 125, 4
time: 3.8s"
26,非法安装警报器、标志灯具的，由公安机关交通管理部门强制拆除，予以收缴，并处（）罚款。,2000元以上,100元以上200元以下,200元以上2000元以下,200元以上500元以下,C,"answer: right
token: 128, 127, 1
time: 0.2s",,"answer: right
token: 128, 127, 1
time: 0.6s","answer: right
token: 130, 129, 1
time: 0.9s",,,"answer: right
token: 148, 144, 4
time: 2.4s","answer: right
token: 148, 144, 4
time: 0.7s","answer: right
token: 148, 144, 4
time: 2.6s"
27,有下列哪种违法行为的机动车驾驶人将被一次记12分,驾驶故意污损号牌的机动车上道路行驶,以隐瞒、欺骗手段补领机动车驾驶证的,驾驶机动车不按照规定避让校车的,机动车驾驶证被暂扣期间驾驶机动车的,A,"answer: right
token: 123, 122, 1
time: 0.2s",,"answer: right
token: 123, 122, 1
time: 0.8s","answer: right
token: 128, 127, 1
time: 0.5s",,,"answer: right
token: 183, 179, 4
time: 2.3s","answer: right
token: 454, 179, 275
time: 2.3s","answer: wrong (B)
token: 183, 179, 4
time: 3.1s"
28,驾驶机动车跨越双实线行驶属于什么行为,过失行为,违法行为,违章行为,违规行为,B,"answer: right
token: 93, 87, 6
time: 0.2s",,"answer: right
token: 88, 87, 1
time: 0.8s","answer: wrong (C)
token: 84, 83, 1
time: 0.8s",,,"answer: right
token: 110, 106, 4
time: 2.8s","answer: right
token: 110, 106, 4
time: 0.7s","answer: right
token: 110, 106, 4
time: 2.7s"
29,车辆向深沟连续翻滚时，身体应迅速躲向座椅前下方，抓住（）等将身体稳住，避免身体滚动受伤。,转向盘管,变速器操纵杆,转向盘,踏板,A,"answer: wrong (B)
token: 121, 113, 8
time: 0.3s",,"answer: right
token: 114, 113, 1
time: 0.7s","answer: wrong (C)
token: 105, 104, 1
time: 0.7s",,,"answer: right
token: 147, 143, 4
time: 2.2s","answer: right
token: 378, 143, 235
time: 3.3s","answer: wrong (C)
token: 147, 143, 4
time: 2.5s"
30,驾驶机动车在雾天怎样跟车行驶,开启近光灯,适时鸣喇叭,开启远光灯,保持大距离,D,"answer: right
token: 89, 88, 1
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 2.7s","answer: right
token: 88, 87, 1
time: 0.8s",,,"answer: right
token: 118, 114, 4
time: 2.4s","answer: right
token: 118, 114, 4
time: 0.8s","answer: right
token: 118, 114, 4
time: 3.0s"
31,公安机关交通管理部门对累积记分达到规定分值的驾驶人怎样处理,处15日以下拘留,依法追究刑事责任,终生禁驾,进行法律法规教育，重新考试,D,"answer: right
token: 110, 100, 10
time: 0.3s",,"answer: right
token: 101, 100, 1
time: 2.9s","answer: right
token: 101, 100, 1
time: 0.7s",,,"answer: right
token: 140, 136, 4
time: 3.1s","answer: right
token: 140, 136, 4
time: 0.8s","answer: right
token: 140, 136, 4
time: 2.5s"
32,会车中遇到对方来车行进有困难需借道时，应怎样做,不侵占对方道路，正常行驶,尽量礼让对方先行,示意对方停车让行,靠右侧加速行驶,B,"answer: right
token: 105, 104, 1
time: 0.3s",,"answer: right
token: 105, 104, 1
time: 2.6s","answer: right
token: 101, 100, 1
time: 0.7s",,,"answer: right
token: 139, 135, 4
time: 2.4s","answer: right
token: 139, 135, 4
time: 1.2s","answer: right
token: 139, 135, 4
time: 2.3s"
33,年龄在60周岁以上的驾驶人多长时间提交一次身体条件证明,每1年,每6个月,每2年,每3年,A,"answer: right
token: 96, 95, 1
time: 0.3s",,"answer: right
token: 96, 95, 1
time: 3.0s","answer: right
token: 85, 84, 1
time: 0.8s",,,"answer: right
token: 115, 111, 4
time: 2.3s","answer: right
token: 115, 111, 4
time: 0.7s","answer: right
token: 115, 111, 4
time: 1.6s"
34,行车中遇列队横过道路的学生时，应怎样做,降低车速、缓慢通过,提前加速抢行,连续鸣喇叭催促,停车让行,D,"answer: right
token: 107, 99, 8
time: 0.4s",,"answer: right
token: 100, 99, 1
time: 3.4s","answer: right
token: 94, 93, 1
time: 1.1s",,,"answer: right
token: 126, 122, 4
time: 3.5s","answer: right
token: 126, 122, 4
time: 0.7s","answer: right
token: 126, 122, 4
time: 3.4s"
35,在下列哪种违法行为的机动车驾驶人将被一次记6分,饮酒后驾驶机动车,驾驶与准驾车型不符的机动车,未取得校车驾驶资格驾驶校车,驾驶机动车违反道路交通信号灯,D,"answer: right
token: 110, 109, 1
time: 2.5s",,"answer: right
token: 110, 109, 1
time: 8.0s","answer: right
token: 112, 111, 1
time: 0.3s",,,"answer: right
token: 160, 156, 4
time: 2.6s","answer: right
token: 349, 156, 193
time: 1.9s","answer: right
token: 160, 156, 4
time: 2.0s"
36,机动车在机动车道与非机动车道之间设有隔离设施的路段,可以随意停车,可以临时停车,可以长时间停车,不得停车,D,"answer: right
token: 92, 91, 1
time: 0.2s",,"answer: right
token: 92, 91, 1
time: 7.3s","answer: right
token: 88, 87, 1
time: 0.8s",,,"answer: right
token: 121, 117, 4
time: 2.4s","answer: right
token: 121, 117, 4
time: 0.9s","answer: right
token: 121, 117, 4
time: 2.1s"
37,在同向3车道高速公路上行驶，最右侧车道的最低车速为每小时,100公里,40公里,60公里,80公里,C,"answer: right
token: 101, 95, 6
time: 0.4s",,"answer: right
token: 96, 95, 1
time: 2.8s","answer: right
token: 95, 94, 1
time: 0.6s",,,"answer: right
token: 114, 110, 4
time: 4.0s","answer: right
token: 114, 110, 4
time: 0.8s","answer: right
token: 114, 110, 4
time: 2.7s"
38,行驶车道绿灯亮时，但车辆前方人行横道仍有行人行走，应怎样做,直接起步通过,等行人通过后再起步,起步后从行人前方绕过,起步后从行人后方绕过,B,"answer: right
token: 115, 114, 1
time: 0.2s",,"answer: right
token: 115, 114, 1
time: 0.7s","answer: right
token: 107, 106, 1
time: 0.8s",,,"answer: right
token: 145, 141, 4
time: 2.7s","answer: right
token: 145, 141, 4
time: 1.0s","answer: right
token: 145, 141, 4
time: 1.7s"
39,驾驶人违反交通运输管理法规发生重大事故使公私财产遭受重大损失，可能会受到什么刑罚,处3年以上7年以下徒刑,处3年以下徒刑或者拘投,处5年以上徒刑,处3年以上徒刑,B,"answer: right
token: 115, 114, 1
time: 0.2s",,"answer: right
token: 115, 114, 1
time: 0.9s","answer: wrong (D)
token: 111, 110, 1
time: 0.7s",,,"answer: right
token: 162, 158, 4
time: 2.2s","answer: right
token: 234, 158, 76
time: 1.4s","answer: right
token: 162, 158, 4
time: 2.6s"
40,机动车在高速公路上发生故障时错误的做法是什么,迅速报警,车上人员不能下车,开启危险报警闪光灯,按规定设置警告标志,B,"answer: right
token: 95, 94, 1
time: 0.3s",,"answer: right
token: 95, 94, 1
time: 0.7s","answer: right
token: 90, 89, 1
time: 0.6s",,,"answer: right
token: 127, 123, 4
time: 2.2s","answer: right
token: 127, 123, 4
time: 0.7s","answer: right
token: 127, 123, 4
time: 2.8s"
41,液化石油气罐车在运输途中发生大量泄漏时，下列措施错误的是什么,组织人员向下风方向梳散,关闭阀门制止渗漏,切断一切电源,戴好防护面具和手套,A,"answer: right
token: 107, 106, 1
time: 0.2s",,"answer: right
token: 107, 106, 1
time: 0.7s","answer: right
token: 103, 102, 1
time: 0.7s",,,"answer: right
token: 145, 141, 4
time: 2.2s","answer: right
token: 214, 141, 73
time: 1.4s","answer: right
token: 145, 141, 4
time: 2.5s"
42,驾驶机动车在道路上追逐竞驶，情节恶劣，会受到什么处罚,处管制，并处罚金,处1年以上徒刑,处6个月徒刑,处拘役，并处罚金,D,"answer: right
token: 102, 101, 1
time: 0.2s",,"answer: right
token: 102, 101, 1
time: 0.7s","answer: right
token: 104, 103, 1
time: 0.6s",,,"answer: right
token: 142, 138, 4
time: 2.3s","answer: right
token: 196, 138, 58
time: 1.4s","answer: right
token: 142, 138, 4
time: 2.5s"
43,夜间驾驶车辆遇自行车对向驶来时，应怎样做,使用近光灯，减速或停车避让,连续变换远、近光灯,使用远光灯,不断鸣喇叭,A,"answer: right
token: 102, 101, 1
time: 0.3s",,"answer: right
token: 102, 101, 1
time: 0.8s","answer: right
token: 99, 98, 1
time: 0.6s",,,"answer: right
token: 138, 134, 4
time: 2.1s","answer: right
token: 138, 134, 4
time: 0.8s","answer: right
token: 138, 134, 4
time: 3.2s"
44,路口转弯过程中，持续开启转向灯，主要是因为什么,让其他驾驶人知道您正在超车,完成转弯动作前，关闭转向灯是习惯动作,完成转弯动作前，关闭转向灯会对车辆造成损害,让其他驾驶人知道您正在转弯,D,"answer: right
token: 120, 119, 1
time: 0.3s",,"answer: right
token: 120, 119, 1
time: 0.7s","answer: right
token: 113, 112, 1
time: 0.6s",,,"answer: right
token: 175, 171, 4
time: 2.4s","answer: right
token: 175, 171, 4
time: 1.2s","answer: right
token: 175, 171, 4
time: 1.8s"
45,行车中突遇对方车辆强行超车，占据自己车道，正确的做法是,保持原车速行驶,尽可能减速避让,加速行驶,挡住其去路,B,"answer: right
token: 100, 99, 1
time: 0.4s",,"answer: right
token: 100, 99, 1
time: 0.7s","answer: right
token: 97, 96, 1
time: 0.7s",,,"answer: right
token: 128, 124, 4
time: 2.3s","answer: right
token: 128, 124, 4
time: 0.8s","answer: right
token: 128, 124, 4
time: 2.9s"
46,车辆因故障必须在高速公路停车时，应在车后方至少多少米处设置故障警告标志，夜间还需开启示廓灯和后位灯,50,200,100,150,D,"answer: right
token: 114, 108, 6
time: 0.3s",,"answer: right
token: 109, 108, 1
time: 0.7s","answer: wrong (B)
token: 108, 107, 1
time: 0.6s",,,"answer: wrong (B)
token: 130, 126, 4
time: 2.7s","answer: right
token: 130, 126, 4
time: 0.7s","answer: right
token: 130, 126, 4
time: 1.6s"
47,申请小型汽车准驾车型驾驶证的人年龄条件是多少,18周岁以上60周岁以下,24周岁以上70周岁以下,21周岁以上50周岁以下,18周岁以上70周岁以下,D,"answer: right
token: 107, 106, 1
time: 0.5s",,"answer: right
token: 107, 106, 1
time: 1.4s","answer: wrong (A)
token: 113, 112, 1
time: 0.7s",,,"answer: right
token: 147, 143, 4
time: 2.5s","answer: right
token: 147, 143, 4
time: 0.7s","answer: right
token: 147, 143, 4
time: 2.4s"
48,行车中遇有非机动车准备绕过停放的车辆时，应怎样做,让其先行,加速绕行,紧随其后鸣喇叭,鸣喇叭示意其让道,A,"answer: right
token: 102, 101, 1
time: 0.3s",,"answer: right
token: 102, 101, 1
time: 0.5s","answer: right
token: 100, 99, 1
time: 0.6s",,,"answer: right
token: 133, 129, 4
time: 2.5s","answer: right
token: 133, 129, 4
time: 0.7s","answer: right
token: 133, 129, 4
time: 2.6s"
49,机动车在高速公路上发生故障需检查时怎样停车,在最外侧行车道上停车,在内侧行车道上停车,在应急车道停车,在匝道口三角地带停车,C,"answer: right
token: 98, 97, 1
time: 0.6s",,"answer: right
token: 98, 97, 1
time: 0.7s","answer: right
token: 100, 99, 1
time: 0.8s",,,"answer: right
token: 133, 129, 4
time: 2.3s","answer: right
token: 133, 129, 4
time: 0.9s","answer: right
token: 133, 129, 4
time: 2.5s"
50,下列哪种行为会受到200元以上2000元以下罚款，并处吊销机动车驾驶证,驾车没带驾驶证,超过规定时速50%,造成交通事故后逃逸,违反道路通行规定,B,"answer: right
token: 111, 110, 1
time: 0.5s",,"answer: right
token: 111, 110, 1
time: 0.7s","answer: wrong (C)
token: 112, 111, 1
time: 0.5s",,,"answer: wrong (C)
token: 145, 141, 4
time: 2.3s","answer: right
token: 202, 141, 61
time: 1.1s","answer: right
token: 145, 141, 4
time: 2.4s"
51,机动车在道路上行驶时，属于交通陋习的是什么行为,遵守交通信号,按规定使用灯光,随意向车外抛洒物品,带行驶证、驾驶证,C,"answer: right
token: 101, 100, 1
time: 0.5s",,"answer: right
token: 101, 100, 1
time: 0.7s","answer: right
token: 95, 94, 1
time: 0.6s",,,"answer: right
token: 134, 130, 4
time: 2.6s","answer: right
token: 134, 130, 4
time: 0.9s","answer: right
token: 134, 130, 4
time: 3.3s"
52,驾驶机动车在高速公路遇到能见度低于50米的气象条件时，车速不得超过20公里/小时，还应怎么做,在路肩低速行驶,进入应急车道行驶,尽快驶离高速公路,快在路边停车,C,"answer: right
token: 121, 113, 8
time: 0.5s",,"answer: right
token: 114, 113, 1
time: 0.6s","answer: right
token: 113, 112, 1
time: 0.6s",,,"answer: right
token: 218, 150, 68
time: 3.5s","answer: right
token: 154, 150, 4
time: 0.8s","answer: right
token: 154, 150, 4
time: 1.6s"
53,公安交通管理部门对驾驶人的交通违法行为除依法给予行政处罚外，实行下列哪种制度,累积记分制度,违法登记制度,强制报废制度,奖励里程制度,A,"answer: right
token: 102, 101, 1
time: 0.5s",,"answer: right
token: 102, 101, 1
time: 0.6s","answer: right
token: 98, 97, 1
time: 0.4s",,,"answer: right
token: 139, 135, 4
time: 2.4s","answer: right
token: 139, 135, 4
time: 1.7s","answer: right
token: 139, 135, 4
time: 2.5s"
54,驾驶机动车在泥泞道路行驶时，最高速度不能超过多少,40公里/小时,15公里/小时,20公里/小时,30公里/小时,D,"answer: wrong (B)
token: 108, 100, 8
time: 0.4s",,"answer: right
token: 101, 100, 1
time: 1.2s","answer: wrong (B)
token: 97, 96, 1
time: 0.6s",,,"answer: right
token: 125, 121, 4
time: 2.8s","answer: wrong (B)
token: 125, 121, 4
time: 1.0s","answer: right
token: 125, 121, 4
time: 2.4s"
55,车辆驶近人行横道时，应怎样做,鸣喇叭示意行人让道,立即停车,先减速注意观察行人、非机动车动态，确认安全后再通过,加速通过,C,"answer: right
token: 105, 104, 1
time: 0.5s",,"answer: right
token: 105, 104, 1
time: 1.1s","answer: right
token: 100, 99, 1
time: 0.7s",,,"answer: right
token: 135, 131, 4
time: 3.3s","answer: right
token: 135, 131, 4
time: 0.7s","answer: right
token: 135, 131, 4
time: 2.6s"
56,驾驶机动车行经市区下列哪种道路时不得超车,单向行驶路段,主要街道,交通流量大的路段,单向两条行车道,C,"answer: wrong (B)
token: 97, 92, 5
time: 0.5s",,"answer: right
token: 93, 92, 1
time: 0.5s","answer: right
token: 91, 90, 1
time: 0.6s",,,"answer: wrong (B)
token: 121, 117, 4
time: 2.3s","answer: right
token: 121, 117, 4
time: 1.6s","answer: wrong (B)
token: 121, 117, 4
time: 2.0s"
57,驾驶车辆通过无人看守的铁路道口时，应怎样做,一停、二看、三通过,匀速通过,加速通过,减速通过,A,"answer: right
token: 97, 96, 1
time: 0.5s",,"answer: right
token: 97, 96, 1
time: 0.8s","answer: right
token: 91, 90, 1
time: 0.4s",,,"answer: right
token: 120, 116, 4
time: 3.1s","answer: right
token: 120, 116, 4
time: 0.8s","answer: right
token: 120, 116, 4
time: 2.5s"
58,谨慎驾驶的三条黄金原则：集中注意力、仔细观察和,低速行车,提前预防,胆大心细,手脚麻利,B,"answer: right
token: 97, 92, 5
time: 0.4s",,"answer: right
token: 93, 92, 1
time: 0.7s","answer: right
token: 86, 85, 1
time: 0.5s",,,"answer: right
token: 120, 116, 4
time: 2.9s","answer: right
token: 120, 116, 4
time: 1.0s","answer: right
token: 120, 116, 4
time: 2.5s"
59,行人参与道路交通的主要特点是什么,行动迟缓,行走随意性大，方向多变,喜欢聚集、围观,稳定性差,B,"answer: right
token: 95, 94, 1
time: 0.4s",,"answer: right
token: 95, 94, 1
time: 2.8s","answer: right
token: 86, 85, 1
time: 0.6s",,,"answer: right
token: 120, 116, 4
time: 2.3s","answer: right
token: 120, 116, 4
time: 1.0s","answer: right
token: 120, 116, 4
time: 2.4s"
60,上道路行驶的机动车有哪种情形交通警察可依法扣留车辆,未携带机动车登记证书,未放置城市环保标志,未携带保险合同,未放置保险标志,D,"answer: right
token: 96, 95, 1
time: 0.3s",,"answer: right
token: 96, 95, 1
time: 3.1s","answer: right
token: 94, 93, 1
time: 0.6s",,,"answer: right
token: 134, 130, 4
time: 2.5s","answer: right
token: 134, 130, 4
time: 0.9s","answer: right
token: 134, 130, 4
time: 1.6s"
