id,source,domain,question_type,question,options,answer,reasoning_required,notes,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
013,GAOKAO-Bench,physics,fill_blank,理想变压器中，输入功率与输出功率的关系是？,{},相等,high,理想条件,"answer: right
token: 49, 47, 2
time: 0.6s","answer: right
token: 49, 47, 2
time: 3.5s","answer: right
token: 49, 47, 2
time: 3.2s","answer: right
token: 45, 44, 1
time: 1.6s","answer: right
token: 217, 44, 1
time: 2.6s",,"answer: wrong (输入功率等于输出功率)
token: 72, 58, 14
time: 4.9s","answer: wrong (输入功率等于输出功率（不计损耗）

或：P₁ = P₂)
token: 90, 58, 32
time: 1.3s","answer: wrong (输入功率等于输出功率)
token: 72, 58, 14
time: 2.0s"
014,GAOKAO-Bench,physics,fill_blank,导体在磁场中切割磁感线运动时产生的电流方向由什么定则判断？,{},右手定则,high,定则区分,"answer: right
token: 56, 53, 3
time: 0.6s","answer: right
token: 56, 53, 3
time: 4.4s","answer: right
token: 56, 53, 3
time: 3.2s","answer: wrong (安培定则)
token: 54, 50, 4
time: 1.4s","answer: right
token: 270, 50, 3
time: 2.4s",,"answer: wrong (右手定则或楞次定律)
token: 82, 68, 14
time: 4.8s","answer: wrong (左手定则)
token: 76, 68, 8
time: 3.4s","answer: right
token: 76, 68, 8
time: 1.7s"
015,GAOKAO-Bench,physics,fill_blank,匀变速直线运动中，速度—时间图像的斜率表示？,{},加速度,high,图像理解,"answer: right
token: 50, 48, 2
time: 0.8s","answer: right
token: 50, 48, 2
time: 3.4s","answer: right
token: 50, 48, 2
time: 2.7s","answer: right
token: 46, 45, 1
time: 1.3s","answer: right
token: 178, 45, 1
time: 2.0s",,"answer: right
token: 68, 61, 7
time: 2.5s","answer: right
token: 68, 61, 7
time: 1.2s","answer: right
token: 68, 61, 7
time: 1.6s"
016,GAOKAO-Bench,physics,fill_blank,物体只受重力作用时，其机械能是否守恒？,{},守恒,high,条件判断,"answer: wrong (是)
token: 50, 49, 1
time: 0.6s","answer: wrong (是)
token: 50, 49, 1
time: 3.4s","answer: wrong (是)
token: 50, 49, 1
time: 3.5s","answer: right
token: 47, 45, 2
time: 1.4s","answer: wrong (是)
token: 276, 45, 1
time: 3.1s",,"answer: right
token: 64, 57, 7
time: 3.4s","answer: right
token: 64, 57, 7
time: 1.4s","answer: right
token: 64, 57, 7
time: 1.6s"
017,GAOKAO-Bench,physics,fill_blank,电阻 R 两端电压为 U，则电流 I=？,{},U/R,high,欧姆定律,"answer: wrong (I = U / R)
token: 50, 45, 5
time: 0.8s","answer: wrong (I = U / R)
token: 50, 45, 5
time: 7.8s","answer: wrong (I = U / R)
token: 50, 45, 5
time: 2.9s","answer: right
token: 46, 43, 3
time: 1.2s","answer: right
token: 250, 43, 3
time: 2.6s",,"answer: wrong (I = U/R)
token: 66, 58, 8
time: 3.0s","answer: wrong (I = U/R)
token: 66, 58, 8
time: 1.5s","answer: right
token: 64, 58, 6
time: 2.8s"
018,GAOKAO-Bench,physics,fill_blank,平抛运动在水平方向上的运动性质是？,{},匀速直线运动,high,分运动,"answer: right
token: 48, 44, 4
time: 0.8s","answer: right
token: 48, 44, 4
time: 7.2s","answer: right
token: 48, 44, 4
time: 2.9s","answer: right
token: 44, 40, 4
time: 1.2s","answer: right
token: 182, 40, 4
time: 2.4s",,"answer: right
token: 66, 55, 11
time: 3.2s","answer: right
token: 66, 55, 11
time: 1.2s","answer: right
token: 66, 55, 11
time: 2.5s"
019,GAOKAO-Bench,physics,fill_blank,动能定理表明合外力所做的功等于？,{},动能的变化量,high,定理表述,"answer: right
token: 48, 45, 3
time: 0.6s","answer: wrong (动能的增量)
token: 48, 45, 3
time: 3.6s","answer: wrong (物体动能的变化量)
token: 49, 45, 4
time: 2.9s","answer: wrong (物体动能的变化)
token: 46, 42, 4
time: 1.4s","answer: wrong (物体动能的变化量)
token: 206, 42, 5
time: 2.5s",,"answer: right
token: 63, 53, 10
time: 2.6s","answer: wrong (物体动能的变化)
token: 64, 53, 11
time: 1.3s","answer: wrong (物体动能的变化)
token: 64, 53, 11
time: 2.3s"
020,GAOKAO-Bench,physics,fill_blank,在真空中，不同质量物体自由下落的加速度是否相同？,{},相同,high,反直觉点,"answer: right
token: 49, 48, 1
time: 0.8s","answer: wrong (是)
token: 49, 48, 1
time: 13.2s","answer: right
token: 49, 48, 1
time: 3.0s","answer: right
token: 45, 44, 1
time: 1.3s","answer: right
token: 260, 44, 1
time: 4.3s",,"answer: right
token: 67, 61, 6
time: 3.4s","answer: wrong (相同。在真空中，不同质量物体自由下落的加速度都等于重力加速度g，与物体质量无关。)
token: 105, 61, 44
time: 1.6s","answer: right
token: 67, 61, 6
time: 1.7s"
021,GAOKAO-Bench,chemistry,fill_blank,氧化还原反应的本质是？,{},电子转移,high,本质概念,"answer: wrong (电子的转移)
token: 44, 41, 3
time: 0.3s","answer: wrong (电子的转移)
token: 44, 41, 3
time: 7.1s","answer: wrong (电子的转移)
token: 44, 41, 3
time: 1.4s","answer: wrong (电子的转移)
token: 40, 37, 3
time: 0.7s","answer: wrong (电子的转移（得失或偏移）)
token: 220, 37, 9
time: 2.3s",,"answer: wrong (电子转移或电子偏移)
token: 63, 49, 14
time: 3.3s","answer: wrong (电子的转移)
token: 58, 49, 9
time: 0.8s","answer: right
token: 57, 49, 8
time: 2.7s"
022,GAOKAO-Bench,chemistry,fill_blank,同温同压下，相同体积气体含有的分子数？,{},相等,high,阿伏伽德罗定律,"answer: wrong (相同)
token: 48, 47, 1
time: 0.2s","answer: wrong (相同)
token: 48, 47, 1
time: 3.0s","answer: wrong (相同)
token: 48, 47, 1
time: 1.2s","answer: wrong (相同)
token: 44, 43, 1
time: 0.8s","answer: wrong (相同)
token: 220, 43, 1
time: 2.2s",,"answer: wrong (相同)
token: 62, 56, 6
time: 2.5s","answer: wrong (相同)
token: 62, 56, 6
time: 0.7s","answer: wrong (相同)
token: 62, 56, 6
time: 2.4s"
023,GAOKAO-Bench,chemistry,fill_blank,pH<7 的溶液呈什么性？,{},酸性,high,基础判断,"answer: right
token: 43, 41, 2
time: 0.3s","answer: right
token: 43, 41, 2
time: 1.2s","answer: right
token: 43, 41, 2
time: 6.7s","answer: right
token: 40, 38, 2
time: 0.7s","answer: right
token: 196, 38, 2
time: 1.7s",,"answer: right
token: 57, 50, 7
time: 2.5s","answer: right
token: 57, 50, 7
time: 0.8s","answer: right
token: 57, 50, 7
time: 2.2s"
024,GAOKAO-Bench,chemistry,fill_blank,化学平衡中，增大压强有利于气体体积如何变化的反应？,{},减小,high,勒夏特列,"answer: right
token: 51, 49, 2
time: 0.3s","answer: right
token: 51, 49, 2
time: 5.4s","answer: right
token: 51, 49, 2
time: 6.8s","answer: wrong (气体体积减小的)
token: 47, 43, 4
time: 0.8s","answer: right
token: 335, 43, 2
time: 3.8s",,"answer: wrong (减小


体积减小（或气体分子数减少）的反应)
token: 87, 63, 24
time: 2.9s","answer: wrong (增大压强有利于气体体积减小的反应进行。)
token: 86, 63, 23
time: 1.0s","answer: right
token: 69, 63, 6
time: 2.3s"
025,GAOKAO-Bench,chemistry,fill_blank,催化剂对反应的平衡位置是否有影响？,{},没有,high,易错点,"answer: wrong (无影响)
token: 46, 44, 2
time: 0.3s","answer: wrong (没有影响)
token: 46, 44, 2
time: 1.3s","answer: wrong (没有影响)
token: 46, 44, 2
time: 6.9s","answer: wrong (无)
token: 42, 41, 1
time: 1.0s","answer: wrong (没有影响)
token: 212, 41, 2
time: 5.0s",,"answer: wrong (没有影响)
token: 64, 56, 8
time: 3.4s","answer: wrong (催化剂对反应的平衡位置没有影响。)
token: 78, 56, 22
time: 1.4s","answer: wrong (没有影响)
token: 64, 56, 8
time: 2.5s"
026,GAOKAO-Bench,chemistry,fill_blank,Fe²⁺ 被氧化成 Fe³⁺，Fe²⁺ 发生的是？,{},失电子,high,氧化还原,"answer: wrong (氧化反应)
token: 53, 51, 2
time: 0.3s","answer: wrong (氧化反应)
token: 53, 51, 2
time: 5.6s","answer: wrong (氧化反应)
token: 53, 51, 2
time: 2.8s","answer: wrong (氧化)
token: 47, 46, 1
time: 0.7s","answer: wrong (氧化反应)
token: 222, 46, 2
time: 7.7s",,"answer: wrong (氧化反应)
token: 76, 67, 9
time: 3.1s","answer: right
token: 74, 67, 7
time: 0.9s","answer: wrong (氧化反应)
token: 76, 67, 9
time: 2.9s"
027,GAOKAO-Bench,chemistry,fill_blank,弱电解质在水溶液中是否完全电离？,{},否,high,概念边界,"answer: right
token: 46, 45, 1
time: 0.3s","answer: right
token: 46, 45, 1
time: 11.7s","answer: right
token: 46, 45, 1
time: 2.8s","answer: right
token: 44, 43, 1
time: 0.7s","answer: right
token: 341, 43, 1
time: 9.5s",,"answer: right
token: 60, 55, 5
time: 3.1s","answer: wrong (弱电解质在水溶液中不完全电离。)
token: 76, 55, 21
time: 1.2s","answer: right
token: 60, 55, 5
time: 2.7s"
028,GAOKAO-Bench,chemistry,fill_blank,标准状况下 1 mol 气体体积为？,{},22.4 L,high,条件限定,"answer: right
token: 52, 47, 5
time: 0.3s","answer: right
token: 52, 47, 5
time: 2.8s","answer: right
token: 52, 47, 5
time: 0.8s","answer: right
token: 45, 40, 5
time: 0.7s","answer: right
token: 354, 40, 5
time: 4.7s",,"answer: right
token: 62, 53, 9
time: 2.6s","answer: right
token: 62, 53, 9
time: 0.9s","answer: right
token: 62, 53, 9
time: 2.4s"
029,GAOKAO-Bench,chemistry,fill_blank,化学反应速率与活化能的关系是？,{},活化能越低速率越快,high,趋势判断,"answer: wrong (活化能越高，反应速率越慢；活化能越低，反应速率越快。)
token: 65, 44, 21
time: 0.4s","answer: wrong (化学反应速率与活化能成反比，活化能越低，反应速率越快。)
token: 66, 44, 22
time: 2.7s","answer: wrong (活化能越低，反应速率越快。)
token: 55, 44, 11
time: 0.6s","answer: wrong (活化能越低，反应速率越快。)
token: 50, 39, 11
time: 0.7s","answer: wrong (活化能越小，化学反应速率越快。)
token: 482, 39, 12
time: 5.3s",,"answer: wrong (# Answer

活化能越大,化学反应速率越小;活化能越小,化学反应速率越大。)
token: 88, 52, 36
time: 3.0s","answer: wrong (化学反应速率与活化能成反比关系。活化能越低，反应速率越快；活化能越高，反应速率越慢。)
token: 99, 52, 47
time: 0.8s","answer: wrong (活化能越大，化学反应速率越慢；活化能越小，化学反应速率越快。)
token: 87, 52, 35
time: 2.9s"
030,GAOKAO-Bench,chemistry,fill_blank,中和反应的本质是 H⁺ 与什么离子结合生成水？,{},OH⁻,high,本质理解,"answer: right
token: 49, 47, 2
time: 0.3s","answer: right
token: 49, 47, 2
time: 3.2s","answer: right
token: 49, 47, 2
time: 0.9s","answer: right
token: 46, 44, 2
time: 0.6s","answer: wrong (氢氧根离子)
token: 215, 44, 4
time: 8.3s",,"answer: right
token: 70, 63, 7
time: 2.9s","answer: right
token: 70, 63, 7
time: 0.7s","answer: right
token: 70, 63, 7
time: 2.8s"
031,GAOKAO-Bench,chinese,fill_blank,“并非所有学生都及格”在逻辑上等价于：________。,{},有学生不及格,high,量词否定,"answer: wrong (有些学生没有及格)
token: 54, 49, 5
time: 0.2s","answer: wrong (有些学生没有及格)
token: 54, 49, 5
time: 1.8s","answer: wrong (有些学生没有及格。)
token: 55, 49, 6
time: 2.3s","answer: right
token: 50, 46, 4
time: 1.1s","answer: wrong (有的学生不及格)
token: 298, 46, 4
time: 3.4s",,"answer: wrong (至少有一个学生不及格)
token: 73, 59, 14
time: 3.9s","answer: wrong (存在学生没有及格)
token: 71, 59, 12
time: 0.7s","answer: wrong (有的学生不及格)
token: 70, 59, 11
time: 3.3s"
032,GAOKAO-Bench,chinese,fill_blank,“不无裨益”的准确含义是：________。,{},有一定帮助,high,双重否定,"answer: wrong (大有裨益)
token: 48, 44, 4
time: 0.2s","answer: wrong (并非没有好处，即有一定好处。)
token: 52, 44, 8
time: 5.0s","answer: wrong (很有益处)
token: 47, 44, 3
time: 0.8s","answer: wrong (有益处)
token: 45, 42, 3
time: 0.7s","answer: wrong (很有益处)
token: 384, 42, 3
time: 4.6s",,"answer: wrong (有好处，有益处)
token: 63, 52, 11
time: 5.5s","answer: wrong (有所帮助；有益处)
token: 65, 52, 13
time: 0.8s","answer: wrong (不是没有益处，即多少有些益处。)
token: 71, 52, 19
time: 2.4s"
033,GAOKAO-Bench,chinese,fill_blank,“只有努力，才能成功”中，努力是成功的________条件。,{},必要,high,逻辑关系,"answer: right
token: 48, 47, 1
time: 0.3s","answer: right
token: 48, 47, 1
time: 3.0s","answer: right
token: 48, 47, 1
time: 1.8s","answer: right
token: 45, 44, 1
time: 0.8s","answer: right
token: 222, 44, 1
time: 3.0s",,"answer: right
token: 65, 59, 6
time: 2.3s","answer: right
token: 65, 59, 6
time: 0.7s","answer: right
token: 65, 59, 6
time: 2.1s"
034,GAOKAO-Bench,chinese,fill_blank,“首当其冲”本义中，“冲”指的是________。,{},要害或前面,high,词源理解,"answer: wrong (要冲)
token: 49, 47, 2
time: 0.3s","answer: wrong (冲锋)
token: 48, 47, 1
time: 1.1s","answer: wrong (要冲)
token: 49, 47, 2
time: 0.7s","answer: wrong (要冲)
token: 46, 44, 2
time: 0.9s","answer: wrong (要冲)
token: 386, 44, 1
time: 3.6s",,"answer: wrong (要冲、交通要道)
token: 68, 56, 12
time: 3.0s","answer: wrong (军队冲锋的地方（或：战场前线）)
token: 77, 56, 21
time: 1.0s","answer: wrong (要冲，交通要道)
token: 68, 56, 12
time: 1.6s"
035,GAOKAO-Bench,chinese,fill_blank,在“他批评了学生，他很生气”中，第二个“他”指代________。,{},不明确,high,指代歧义,"answer: wrong (前文的“他”指代的是批评学生的那个人，即老师或教育者。因此，第二个“他”指代的是第一个“他”，即批评学生的那个人。  

答案：批评学生的那个人)
token: 96, 53, 43
time: 0.9s","answer: wrong (学生)
token: 54, 53, 1
time: 1.8s","answer: wrong (他)
token: 54, 53, 1
time: 0.6s","answer: wrong (学生)
token: 51, 50, 1
time: 0.7s","answer: wrong (第一个“他”)
token: 792, 50, 4
time: 6.3s",,"answer: wrong (学生)
token: 69, 63, 6
time: 2.7s","answer: wrong (学生)
token: 69, 63, 6
time: 1.2s","answer: wrong (学生)
token: 69, 63, 6
time: 2.0s"
036,GAOKAO-Bench,chinese,fill_blank,“差强人意”的正确含义是：________。,{},大体令人满意,high,常错成语,"answer: wrong (大体上还能使人满意)
token: 50, 44, 6
time: 0.3s","answer: wrong (大体上还能使人满意)
token: 50, 44, 6
time: 1.4s","answer: wrong (大体上还能使人满意)
token: 50, 44, 6
time: 0.7s","answer: wrong (大体上还能叫人满意)
token: 49, 42, 7
time: 0.8s","answer: wrong (大体上还能使人满意。)
token: 288, 42, 8
time: 5.6s",,"answer: wrong (大体上还能使人满意)
token: 64, 51, 13
time: 3.2s","answer: wrong (大体上还不错，令人基本满意)
token: 68, 51, 17
time: 0.8s","answer: wrong (大体上还能使人满意)
token: 64, 51, 13
time: 1.6s"
037,GAOKAO-Bench,chinese,fill_blank,“未必”与“必然”在逻辑关系上是________。,{},否定关系,high,逻辑词,"answer: wrong (矛盾关系)
token: 48, 46, 2
time: 0.2s","answer: wrong (矛盾关系)
token: 48, 46, 2
time: 1.2s","answer: wrong (矛盾关系)
token: 48, 46, 2
time: 0.6s","answer: wrong (对立)
token: 45, 43, 2
time: 0.8s","answer: wrong (矛盾关系)
token: 360, 43, 2
time: 4.3s",,"answer: wrong (矛盾关系)
token: 66, 56, 10
time: 2.5s","answer: wrong (矛盾关系)
token: 66, 56, 10
time: 0.8s","answer: wrong (矛盾关系)
token: 66, 56, 10
time: 2.9s"
038,GAOKAO-Bench,chinese,fill_blank,“不少于 3 人”在数学上表示为：________。,{},≥3,high,语言转数学,"answer: right
token: 49, 47, 2
time: 0.2s","answer: wrong (不少于3人即人数≥3)
token: 54, 47, 7
time: 1.4s","answer: wrong (人数 ≥ 3)
token: 51, 47, 4
time: 3.6s","answer: wrong ($\ge 3$)
token: 49, 44, 5
time: 0.8s","answer: wrong (x ≥ 3)
token: 275, 44, 4
time: 3.5s",,"answer: wrong (≥3人 或 x≥3(x为人数))
token: 76, 55, 21
time: 3.1s","answer: wrong (≥3 或 x≥3（其中x为人数）)
token: 77, 55, 22
time: 1.0s","answer: wrong (≥3人)
token: 63, 55, 8
time: 2.2s"
039,GAOKAO-Bench,chinese,fill_blank,“并非不可能”最合理的理解是：________。,{},可能,high,否定嵌套,"answer: right
token: 44, 43, 1
time: 0.2s","answer: right
token: 44, 43, 1
time: 1.8s","answer: wrong (有可能)
token: 44, 43, 1
time: 3.0s","answer: right
token: 41, 40, 1
time: 0.8s","answer: right
token: 259, 40, 1
time: 4.5s",,"answer: right
token: 59, 53, 6
time: 2.4s","answer: wrong (是可能的)
token: 61, 53, 8
time: 0.7s","answer: right
token: 59, 53, 6
time: 1.6s"
040,GAOKAO-Bench,chinese,fill_blank,在论证中，用个别例子否定普遍结论属于________错误。,{},以偏概全,high,逻辑谬误,"answer: right
token: 50, 46, 4
time: 0.3s","answer: right
token: 50, 46, 4
time: 2.0s","answer: right
token: 50, 46, 4
time: 3.3s","answer: right
token: 49, 45, 4
time: 0.8s","answer: right
token: 1215, 45, 4
time: 9.3s",,"answer: right
token: 69, 60, 9
time: 2.5s","answer: right
token: 69, 60, 9
time: 0.9s","answer: right
token: 69, 60, 9
time: 2.6s"
041,Logic-Bench,logic,fill_blank,命题“如果 P，则 Q”为假，当且仅当 P 为真且 Q 为________。,{},假,high,命题真值,"answer: right
token: 60, 59, 1
time: 0.2s","answer: right
token: 60, 59, 1
time: 1.8s","answer: right
token: 60, 59, 1
time: 1.0s","answer: right
token: 55, 54, 1
time: 0.6s","answer: right
token: 289, 54, 0
time: 2.6s",,"answer: right
token: 74, 69, 5
time: 2.8s","answer: right
token: 74, 69, 5
time: 0.7s","answer: right
token: 74, 69, 5
time: 2.1s"
042,Logic-Bench,logic,fill_blank,命题“所有 A 都是 B”的否定是：________。,{},有 A 不是 B,high,量词否定,"answer: wrong (有些 A 不是 B)
token: 54, 49, 5
time: 0.2s","answer: wrong (存在一个 A 不是 B)
token: 55, 49, 6
time: 1.5s","answer: wrong (存在 A 不是 B。)
token: 55, 49, 6
time: 1.3s","answer: wrong (不 A 是 B)
token: 49, 45, 4
time: 0.7s","answer: wrong (有的 A 不是 B)
token: 266, 45, 4
time: 2.3s",,"answer: wrong (有些A不是B)
token: 67, 57, 10
time: 2.6s","answer: wrong (存在A不是B)
token: 67, 57, 10
time: 0.9s","answer: wrong (有些A不是B)
token: 67, 57, 10
time: 2.2s"
043,Logic-Bench,logic,fill_blank,“P 且 Q”为真的必要条件是 P 与 Q 都为________。,{},真,high,合取命题,"answer: right
token: 53, 52, 1
time: 0.2s","answer: right
token: 53, 52, 1
time: 1.4s","answer: right
token: 53, 52, 1
time: 0.5s","answer: right
token: 48, 47, 1
time: 0.5s","answer: right
token: 285, 47, 1
time: 3.0s",,"answer: right
token: 67, 62, 5
time: 2.5s","answer: right
token: 67, 62, 5
time: 0.8s","answer: right
token: 67, 62, 5
time: 2.2s"
044,Logic-Bench,logic,fill_blank,若 P 为假，则命题“P 或 Q”的真假取决于________。,{},Q,high,析取命题,"answer: wrong (Q 的真假)
token: 51, 48, 3
time: 0.2s","answer: wrong (Q的真假)
token: 51, 48, 3
time: 1.4s","answer: wrong (Q 的真假)
token: 51, 48, 3
time: 0.8s","answer: right
token: 49, 48, 1
time: 1.2s","answer: wrong (Q 的真假)
token: 477, 48, 4
time: 3.8s",,"answer: wrong (Q的真假)
token: 69, 62, 7
time: 2.9s","answer: right
token: 66, 62, 4
time: 0.7s","answer: right
token: 66, 62, 4
time: 2.6s"
