id,scenario,product,targetUser,goal,tone,length,mustInclude,avoid,callToAction,hashtags,notes,Qwen Flash,Qwen Plus,Qwen3 max,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
XHS-011,居家碎片化运动,15分钟跟练课程,健身小白,突出省时、低门槛、在家即可完成,轻松幽默,180-220字,"15分钟, 无器械, 可在家完成","快速瘦身承诺, 医疗暗示",引导保存打卡,#居家运动 #15分钟 #自律打卡,鼓励行动但不施压,,,,,,"token: 965, 689, 276
time: 4.5s
score: 9.2/10",,,,,
XHS-012,居家碎片化运动,15分钟跟练课程,上班族,突出省时、低门槛、在家即可完成,真实体验,220-280字,"15分钟, 无器械, 可在家完成","快速瘦身承诺, 医疗暗示",引导保存打卡,#居家运动 #15分钟 #自律打卡,鼓励行动但不施压,,,,,,"token: 1011, 711, 300
time: 4.6s
score: 9.3/10",,,,,
XHS-013,居家碎片化运动,15分钟跟练课程,宝妈,突出省时、低门槛、在家即可完成,高能种草,160-200字,"15分钟, 无器械, 可在家完成","快速瘦身承诺, 医疗暗示",引导保存打卡,#居家运动 #15分钟 #自律打卡,鼓励行动但不施压,,,,,,"token: 1011, 712, 299
time: 4.7s
score: 9.2/10",,,,,
XHS-014,居家碎片化运动,15分钟跟练课程,学生党,突出省时、低门槛、在家即可完成,温柔治愈,200-260字,"15分钟, 无器械, 可在家完成","快速瘦身承诺, 医疗暗示",引导保存打卡,#居家运动 #15分钟 #自律打卡,鼓励行动但不施压,,,,,,"token: 973, 692, 281
time: 4.2s
score: 9.2/10",,,,,
XHS-015,居家碎片化运动,15分钟跟练课程,久坐人群,突出省时、低门槛、在家即可完成,干货专业,120-160字,"15分钟, 无器械, 可在家完成","快速瘦身承诺, 医疗暗示",引导保存打卡,#居家运动 #15分钟 #自律打卡,鼓励行动但不施压,,,,,,"token: 957, 684, 273
time: 3.1s
score: 8.9/10",,,,,
XHS-016,周末城市短途旅行,城市两日游攻略,周末旅行爱好者,突出路线清晰、省时、拍照友好,真实体验,200-260字,"2天1夜, 拍照打卡点, 交通建议","虚假价格, 夸大景点",引导收藏备用,#周末旅行 #城市攻略 #打卡路线,风格轻松,,,,,,"token: 1092, 751, 341
time: 4.2s
score: 9.1/10",,,,,
XHS-017,周末城市短途旅行,城市两日游攻略,情侣出游,突出路线清晰、省时、拍照友好,高能种草,120-160字,"2天1夜, 拍照打卡点, 交通建议","虚假价格, 夸大景点",引导收藏备用,#周末旅行 #城市攻略 #打卡路线,风格轻松,,,,,,"token: 1020, 716, 304
time: 5.6s
score: 9.2/10",,,,,
XHS-018,周末城市短途旅行,城市两日游攻略,独自旅行者,突出路线清晰、省时、拍照友好,温柔治愈,180-220字,"2天1夜, 拍照打卡点, 交通建议","虚假价格, 夸大景点",引导收藏备用,#周末旅行 #城市攻略 #打卡路线,风格轻松,,,,,,"token: 992, 702, 290
time: 5.2s
score: 9.2/10",,,,,
XHS-019,周末城市短途旅行,城市两日游攻略,拍照党,突出路线清晰、省时、拍照友好,干货专业,220-280字,"2天1夜, 拍照打卡点, 交通建议","虚假价格, 夸大景点",引导收藏备用,#周末旅行 #城市攻略 #打卡路线,风格轻松,,,,,,"token: 1104, 756, 348
time: 4.0s
score: 9.2/10",,,,,
XHS-020,周末城市短途旅行,城市两日游攻略,学生党,突出路线清晰、省时、拍照友好,轻松幽默,160-200字,"2天1夜, 拍照打卡点, 交通建议","虚假价格, 夸大景点",引导收藏备用,#周末旅行 #城市攻略 #打卡路线,风格轻松,,,,,,"token: 998, 703, 295
time: 4.2s
score: 8.8/10",,,,,
XHS-021,低糖甜品制作,低糖酸奶杯,控糖人群,突出简单易做、低负担、颜值高,高能种草,220-280字,"低糖, 3步完成, 食材清单","医疗功效, 绝对减肥",鼓励收藏食谱,#低糖甜品 #健康饮食 #懒人食谱,可加入替代食材建议,,,,,,,,,,,
XHS-022,低糖甜品制作,低糖酸奶杯,健身人群,突出简单易做、低负担、颜值高,温柔治愈,160-200字,"低糖, 3步完成, 食材清单","医疗功效, 绝对减肥",鼓励收藏食谱,#低糖甜品 #健康饮食 #懒人食谱,可加入替代食材建议,,,,,,,,,,,
XHS-023,低糖甜品制作,低糖酸奶杯,学生党,突出简单易做、低负担、颜值高,干货专业,200-260字,"低糖, 3步完成, 食材清单","医疗功效, 绝对减肥",鼓励收藏食谱,#低糖甜品 #健康饮食 #懒人食谱,可加入替代食材建议,,,,,,,,,,,
XHS-024,低糖甜品制作,低糖酸奶杯,上班族,突出简单易做、低负担、颜值高,轻松幽默,120-160字,"低糖, 3步完成, 食材清单","医疗功效, 绝对减肥",鼓励收藏食谱,#低糖甜品 #健康饮食 #懒人食谱,可加入替代食材建议,,,,,,,,,,,
XHS-025,低糖甜品制作,低糖酸奶杯,甜品爱好者,突出简单易做、低负担、颜值高,真实体验,180-220字,"低糖, 3步完成, 食材清单","医疗功效, 绝对减肥",鼓励收藏食谱,#低糖甜品 #健康饮食 #懒人食谱,可加入替代食材建议,,,,,,,,,,,
XHS-026,自习咖啡馆探店,静音咖啡馆推荐,备考学生,突出安静、插座多、出品稳定,温柔治愈,120-160字,"安静氛围, 插座, 不限时或续杯友好","虚假优惠, 过度夸张",邀请留言补充店单,#咖啡馆探店 #自习好去处 #城市生活,真实体验,,,,,,,,,,,
XHS-027,自习咖啡馆探店,静音咖啡馆推荐,远程办公者,突出安静、插座多、出品稳定,干货专业,180-220字,"安静氛围, 插座, 不限时或续杯友好","虚假优惠, 过度夸张",邀请留言补充店单,#咖啡馆探店 #自习好去处 #城市生活,真实体验,,,,,,,,,,,
XHS-028,自习咖啡馆探店,静音咖啡馆推荐,自由职业者,突出安静、插座多、出品稳定,轻松幽默,220-280字,"安静氛围, 插座, 不限时或续杯友好","虚假优惠, 过度夸张",邀请留言补充店单,#咖啡馆探店 #自习好去处 #城市生活,真实体验,,,,,,,,,,,
XHS-029,自习咖啡馆探店,静音咖啡馆推荐,阅读爱好者,突出安静、插座多、出品稳定,真实体验,160-200字,"安静氛围, 插座, 不限时或续杯友好","虚假优惠, 过度夸张",邀请留言补充店单,#咖啡馆探店 #自习好去处 #城市生活,真实体验,,,,,,,,,,,
XHS-030,自习咖啡馆探店,静音咖啡馆推荐,周末独处党,突出安静、插座多、出品稳定,高能种草,200-260字,"安静氛围, 插座, 不限时或续杯友好","虚假优惠, 过度夸张",邀请留言补充店单,#咖啡馆探店 #自习好去处 #城市生活,真实体验,,,,,,,,,,,
XHS-031,通勤降噪体验,主动降噪耳机,通勤族,突出降噪、续航、佩戴舒适,干货专业,160-200字,"主动降噪, 续航, 佩戴舒适","品牌攻击, 夸大绝对降噪",引导收藏对比清单,#耳机测评 #通勤好物 #降噪,可提一个使用场景,,,,,,,,,,,
XHS-032,通勤降噪体验,主动降噪耳机,地铁用户,突出降噪、续航、佩戴舒适,轻松幽默,200-260字,"主动降噪, 续航, 佩戴舒适","品牌攻击, 夸大绝对降噪",引导收藏对比清单,#耳机测评 #通勤好物 #降噪,可提一个使用场景,,,,,,,,,,,
XHS-033,通勤降噪体验,主动降噪耳机,学生党,突出降噪、续航、佩戴舒适,真实体验,120-160字,"主动降噪, 续航, 佩戴舒适","品牌攻击, 夸大绝对降噪",引导收藏对比清单,#耳机测评 #通勤好物 #降噪,可提一个使用场景,,,,,,,,,,,
XHS-034,通勤降噪体验,主动降噪耳机,办公室人群,突出降噪、续航、佩戴舒适,高能种草,180-220字,"主动降噪, 续航, 佩戴舒适","品牌攻击, 夸大绝对降噪",引导收藏对比清单,#耳机测评 #通勤好物 #降噪,可提一个使用场景,,,,,,,,,,,
XHS-035,通勤降噪体验,主动降噪耳机,旅行党,突出降噪、续航、佩戴舒适,温柔治愈,220-280字,"主动降噪, 续航, 佩戴舒适","品牌攻击, 夸大绝对降噪",引导收藏对比清单,#耳机测评 #通勤好物 #降噪,可提一个使用场景,,,,,,,,,,,
XHS-036,高效记笔记方法,考试笔记模板,备考学生,突出结构清晰、复习高效、易坚持,轻松幽默,180-220字,"模板结构, 复习节奏, 复盘建议",夸大提分快,鼓励保存模板,#学习方法 #备考笔记 #高效复习,可用步骤化表达,,,,,,,,,,,
XHS-037,高效记笔记方法,考试笔记模板,考研党,突出结构清晰、复习高效、易坚持,真实体验,220-280字,"模板结构, 复习节奏, 复盘建议",夸大提分快,鼓励保存模板,#学习方法 #备考笔记 #高效复习,可用步骤化表达,,,,,,,,,,,
XHS-038,高效记笔记方法,考试笔记模板,考公党,突出结构清晰、复习高效、易坚持,高能种草,160-200字,"模板结构, 复习节奏, 复盘建议",夸大提分快,鼓励保存模板,#学习方法 #备考笔记 #高效复习,可用步骤化表达,,,,,,,,,,,
XHS-039,高效记笔记方法,考试笔记模板,自学者,突出结构清晰、复习高效、易坚持,温柔治愈,200-260字,"模板结构, 复习节奏, 复盘建议",夸大提分快,鼓励保存模板,#学习方法 #备考笔记 #高效复习,可用步骤化表达,,,,,,,,,,,
XHS-040,高效记笔记方法,考试笔记模板,英语学习者,突出结构清晰、复习高效、易坚持,干货专业,120-160字,"模板结构, 复习节奏, 复盘建议",夸大提分快,鼓励保存模板,#学习方法 #备考笔记 #高效复习,可用步骤化表达,,,,,,,,,,,
XHS-041,新手宝宝睡眠,睡前安抚流程,新手妈妈,突出可执行、温和、易坚持,真实体验,200-260字,"固定流程, 环境布置, 安抚话术","医疗建议, 强迫式训练",邀请分享宝宝月龄,#育儿经验 #宝宝睡眠 #新手妈妈,语气温柔,,,,,,,,,,,
XHS-042,新手宝宝睡眠,睡前安抚流程,新手爸爸,突出可执行、温和、易坚持,高能种草,120-160字,"固定流程, 环境布置, 安抚话术","医疗建议, 强迫式训练",邀请分享宝宝月龄,#育儿经验 #宝宝睡眠 #新手妈妈,语气温柔,,,,,,,,,,,
XHS-043,新手宝宝睡眠,睡前安抚流程,双职工父母,突出可执行、温和、易坚持,温柔治愈,180-220字,"固定流程, 环境布置, 安抚话术","医疗建议, 强迫式训练",邀请分享宝宝月龄,#育儿经验 #宝宝睡眠 #新手妈妈,语气温柔,,,,,,,,,,,
XHS-044,新手宝宝睡眠,睡前安抚流程,带娃家庭,突出可执行、温和、易坚持,干货专业,220-280字,"固定流程, 环境布置, 安抚话术","医疗建议, 强迫式训练",邀请分享宝宝月龄,#育儿经验 #宝宝睡眠 #新手妈妈,语气温柔,,,,,,,,,,,
XHS-045,新手宝宝睡眠,睡前安抚流程,0-1岁宝宝家庭,突出可执行、温和、易坚持,轻松幽默,160-200字,"固定流程, 环境布置, 安抚话术","医疗建议, 强迫式训练",邀请分享宝宝月龄,#育儿经验 #宝宝睡眠 #新手妈妈,语气温柔,,,,,,,,,,,
XHS-046,猫咪如厕护理,低尘豆腐猫砂,新手铲屎官,突出除味、低尘、易清理,高能种草,220-280字,"低尘, 易结团, 除味","绝对无味, 医疗暗示",引导收藏采购清单,#养猫日常 #猫砂测评 #宠物用品,可提换砂频率,,,,,,,,,,,
XHS-047,猫咪如厕护理,低尘豆腐猫砂,养多猫家庭,突出除味、低尘、易清理,温柔治愈,160-200字,"低尘, 易结团, 除味","绝对无味, 医疗暗示",引导收藏采购清单,#养猫日常 #猫砂测评 #宠物用品,可提换砂频率,,,,,,,,,,,
XHS-048,猫咪如厕护理,低尘豆腐猫砂,租房猫主,突出除味、低尘、易清理,干货专业,200-260字,"低尘, 易结团, 除味","绝对无味, 医疗暗示",引导收藏采购清单,#养猫日常 #猫砂测评 #宠物用品,可提换砂频率,,,,,,,,,,,
XHS-049,猫咪如厕护理,低尘豆腐猫砂,过敏体质养猫人,突出除味、低尘、易清理,轻松幽默,120-160字,"低尘, 易结团, 除味","绝对无味, 医疗暗示",引导收藏采购清单,#养猫日常 #猫砂测评 #宠物用品,可提换砂频率,,,,,,,,,,,
XHS-050,猫咪如厕护理,低尘豆腐猫砂,预算控,突出除味、低尘、易清理,真实体验,180-220字,"低尘, 易结团, 除味","绝对无味, 医疗暗示",引导收藏采购清单,#养猫日常 #猫砂测评 #宠物用品,可提换砂频率,,,,,,,,,,,
XHS-051,工作效率提升,任务管理App,职场新人,突出上手快、提醒清晰、协作方便,温柔治愈,120-160字,"3个核心功能, 适合日常管理",夸大效率提升,邀请试用并留言习惯,#效率工具 #时间管理 #职场成长,语气干货,,,,,,,,,,,
XHS-052,工作效率提升,任务管理App,项目经理,突出上手快、提醒清晰、协作方便,干货专业,180-220字,"3个核心功能, 适合日常管理",夸大效率提升,邀请试用并留言习惯,#效率工具 #时间管理 #职场成长,语气干货,,,,,,,,,,,
XHS-053,工作效率提升,任务管理App,自由职业者,突出上手快、提醒清晰、协作方便,轻松幽默,220-280字,"3个核心功能, 适合日常管理",夸大效率提升,邀请试用并留言习惯,#效率工具 #时间管理 #职场成长,语气干货,,,,,,,,,,,
XHS-054,工作效率提升,任务管理App,学生党,突出上手快、提醒清晰、协作方便,真实体验,160-200字,"3个核心功能, 适合日常管理",夸大效率提升,邀请试用并留言习惯,#效率工具 #时间管理 #职场成长,语气干货,,,,,,,,,,,
XHS-055,工作效率提升,任务管理App,远程办公者,突出上手快、提醒清晰、协作方便,高能种草,200-260字,"3个核心功能, 适合日常管理",夸大效率提升,邀请试用并留言习惯,#效率工具 #时间管理 #职场成长,语气干货,,,,,,,,,,,
XHS-056,月度预算管理,预算表模板,月光族,突出可执行、分类清晰、易复盘,干货专业,160-200字,"固定支出/可变支出, 复盘提醒",理财收益承诺,引导收藏并设置提醒,#理财入门 #预算管理 #记账,强调稳健,,,,,,,,,,,
XHS-057,月度预算管理,预算表模板,学生党,突出可执行、分类清晰、易复盘,轻松幽默,200-260字,"固定支出/可变支出, 复盘提醒",理财收益承诺,引导收藏并设置提醒,#理财入门 #预算管理 #记账,强调稳健,,,,,,,,,,,
XHS-058,月度预算管理,预算表模板,合租白领,突出可执行、分类清晰、易复盘,真实体验,120-160字,"固定支出/可变支出, 复盘提醒",理财收益承诺,引导收藏并设置提醒,#理财入门 #预算管理 #记账,强调稳健,,,,,,,,,,,
XHS-059,月度预算管理,预算表模板,小家庭,突出可执行、分类清晰、易复盘,高能种草,180-220字,"固定支出/可变支出, 复盘提醒",理财收益承诺,引导收藏并设置提醒,#理财入门 #预算管理 #记账,强调稳健,,,,,,,,,,,
XHS-060,月度预算管理,预算表模板,自由职业者,突出可执行、分类清晰、易复盘,温柔治愈,220-280字,"固定支出/可变支出, 复盘提醒",理财收益承诺,引导收藏并设置提醒,#理财入门 #预算管理 #记账,强调稳健,,,,,,,,,,,
XHS-061,秋冬穿搭,基础款叠穿,通勤女性,突出显瘦、保暖、通勤友好,轻松幽默,180-220字,"基础色, 叠穿层次, 鞋包搭配",价格夸大,邀请收藏搭配清单,#秋冬穿搭 #通勤穿搭 #基础款,风格清爽,,,,,,,,,,,
XHS-062,秋冬穿搭,基础款叠穿,学生党,突出显瘦、保暖、通勤友好,真实体验,220-280字,"基础色, 叠穿层次, 鞋包搭配",价格夸大,邀请收藏搭配清单,#秋冬穿搭 #通勤穿搭 #基础款,风格清爽,,,,,,,,,,,
XHS-063,秋冬穿搭,基础款叠穿,小个子人群,突出显瘦、保暖、通勤友好,高能种草,160-200字,"基础色, 叠穿层次, 鞋包搭配",价格夸大,邀请收藏搭配清单,#秋冬穿搭 #通勤穿搭 #基础款,风格清爽,,,,,,,,,,,
XHS-064,秋冬穿搭,基础款叠穿,简约风爱好者,突出显瘦、保暖、通勤友好,温柔治愈,200-260字,"基础色, 叠穿层次, 鞋包搭配",价格夸大,邀请收藏搭配清单,#秋冬穿搭 #通勤穿搭 #基础款,风格清爽,,,,,,,,,,,
XHS-065,秋冬穿搭,基础款叠穿,职场新人,突出显瘦、保暖、通勤友好,干货专业,120-160字,"基础色, 叠穿层次, 鞋包搭配",价格夸大,邀请收藏搭配清单,#秋冬穿搭 #通勤穿搭 #基础款,风格清爽,,,,,,,,,,,
XHS-066,小户型收纳,分区收纳方案,租房党,突出省空间、易维护、低成本,真实体验,200-260字,"3个分区, 预算范围, 收纳工具",过度囤积建议,引导收藏装修清单,#小户型 #收纳整理 #居家好物,强调可复制,,,,,,,,,,,
XHS-067,小户型收纳,分区收纳方案,合租白领,突出省空间、易维护、低成本,高能种草,120-160字,"3个分区, 预算范围, 收纳工具",过度囤积建议,引导收藏装修清单,#小户型 #收纳整理 #居家好物,强调可复制,,,,,,,,,,,
XHS-068,小户型收纳,分区收纳方案,新婚小两口,突出省空间、易维护、低成本,温柔治愈,180-220字,"3个分区, 预算范围, 收纳工具",过度囤积建议,引导收藏装修清单,#小户型 #收纳整理 #居家好物,强调可复制,,,,,,,,,,,
XHS-069,小户型收纳,分区收纳方案,宿舍党,突出省空间、易维护、低成本,干货专业,220-280字,"3个分区, 预算范围, 收纳工具",过度囤积建议,引导收藏装修清单,#小户型 #收纳整理 #居家好物,强调可复制,,,,,,,,,,,
XHS-070,小户型收纳,分区收纳方案,小家庭,突出省空间、易维护、低成本,轻松幽默,160-200字,"3个分区, 预算范围, 收纳工具",过度囤积建议,引导收藏装修清单,#小户型 #收纳整理 #居家好物,强调可复制,,,,,,,,,,,
XHS-071,睡前放松,香薰与睡前仪式,加班族,突出仪式感、放松、易坚持,高能种草,220-280字,"睡前流程, 香型建议, 30分钟安排","医疗效果, 失眠治疗",邀请分享助眠习惯,#睡前仪式 #香薰 #生活方式,语气温柔治愈,,,,,,,,,,,
XHS-072,睡前放松,香薰与睡前仪式,失眠困扰者,突出仪式感、放松、易坚持,温柔治愈,160-200字,"睡前流程, 香型建议, 30分钟安排","医疗效果, 失眠治疗",邀请分享助眠习惯,#睡前仪式 #香薰 #生活方式,语气温柔治愈,,,,,,,,,,,
XHS-073,睡前放松,香薰与睡前仪式,学生党,突出仪式感、放松、易坚持,干货专业,200-260字,"睡前流程, 香型建议, 30分钟安排","医疗效果, 失眠治疗",邀请分享助眠习惯,#睡前仪式 #香薰 #生活方式,语气温柔治愈,,,,,,,,,,,
XHS-074,睡前放松,香薰与睡前仪式,焦虑人群,突出仪式感、放松、易坚持,轻松幽默,120-160字,"睡前流程, 香型建议, 30分钟安排","医疗效果, 失眠治疗",邀请分享助眠习惯,#睡前仪式 #香薰 #生活方式,语气温柔治愈,,,,,,,,,,,
XHS-075,睡前放松,香薰与睡前仪式,居家党,突出仪式感、放松、易坚持,真实体验,180-220字,"睡前流程, 香型建议, 30分钟安排","医疗效果, 失眠治疗",邀请分享助眠习惯,#睡前仪式 #香薰 #生活方式,语气温柔治愈,,,,,,,,,,,
XHS-076,头皮护理,控油洗发水,油头人群,突出控油、清爽、温和,温柔治愈,120-160字,"控油时长, 适合夏天, 头皮舒缓",医疗治疗承诺,引导评论发质,#头皮护理 #洗发水测评 #夏日清爽,真实体验口吻,,,,,,,,,,,
XHS-077,头皮护理,控油洗发水,学生党,突出控油、清爽、温和,干货专业,180-220字,"控油时长, 适合夏天, 头皮舒缓",医疗治疗承诺,引导评论发质,#头皮护理 #洗发水测评 #夏日清爽,真实体验口吻,,,,,,,,,,,
XHS-078,头皮护理,控油洗发水,通勤白领,突出控油、清爽、温和,轻松幽默,220-280字,"控油时长, 适合夏天, 头皮舒缓",医疗治疗承诺,引导评论发质,#头皮护理 #洗发水测评 #夏日清爽,真实体验口吻,,,,,,,,,,,
XHS-079,头皮护理,控油洗发水,健身人群,突出控油、清爽、温和,真实体验,160-200字,"控油时长, 适合夏天, 头皮舒缓",医疗治疗承诺,引导评论发质,#头皮护理 #洗发水测评 #夏日清爽,真实体验口吻,,,,,,,,,,,
XHS-080,头皮护理,控油洗发水,敏感头皮人群,突出控油、清爽、温和,高能种草,200-260字,"控油时长, 适合夏天, 头皮舒缓",医疗治疗承诺,引导评论发质,#头皮护理 #洗发水测评 #夏日清爽,真实体验口吻,,,,,,,,,,,
XHS-081,办公室午餐,空气炸锅便当,上班族,突出省时、低油、好清洗,干货专业,160-200字,"用时, 食材清单, 清洗方便",过度夸大健康效果,引导收藏菜谱,#空气炸锅 #办公室便当 #懒人料理,可提替换食材,,,,,,,,,,,
XHS-082,办公室午餐,空气炸锅便当,健身人群,突出省时、低油、好清洗,轻松幽默,200-260字,"用时, 食材清单, 清洗方便",过度夸大健康效果,引导收藏菜谱,#空气炸锅 #办公室便当 #懒人料理,可提替换食材,,,,,,,,,,,
XHS-083,办公室午餐,空气炸锅便当,独居人士,突出省时、低油、好清洗,真实体验,120-160字,"用时, 食材清单, 清洗方便",过度夸大健康效果,引导收藏菜谱,#空气炸锅 #办公室便当 #懒人料理,可提替换食材,,,,,,,,,,,
XHS-084,办公室午餐,空气炸锅便当,学生党,突出省时、低油、好清洗,高能种草,180-220字,"用时, 食材清单, 清洗方便",过度夸大健康效果,引导收藏菜谱,#空气炸锅 #办公室便当 #懒人料理,可提替换食材,,,,,,,,,,,
XHS-085,办公室午餐,空气炸锅便当,控脂人群,突出省时、低油、好清洗,温柔治愈,220-280字,"用时, 食材清单, 清洗方便",过度夸大健康效果,引导收藏菜谱,#空气炸锅 #办公室便当 #懒人料理,可提替换食材,,,,,,,,,,,
XHS-086,跑步入门装备,缓震跑鞋,跑步新手,突出保护膝盖、舒适、性价比,轻松幽默,180-220字,"缓震, 适合新手, 跑步姿势提醒",医疗承诺,邀请留言跑量,#跑步入门 #运动装备 #跑鞋测评,鼓励循序渐进,,,,,,,,,,,
XHS-087,跑步入门装备,缓震跑鞋,体重偏高人群,突出保护膝盖、舒适、性价比,真实体验,220-280字,"缓震, 适合新手, 跑步姿势提醒",医疗承诺,邀请留言跑量,#跑步入门 #运动装备 #跑鞋测评,鼓励循序渐进,,,,,,,,,,,
XHS-088,跑步入门装备,缓震跑鞋,健身房跑者,突出保护膝盖、舒适、性价比,高能种草,160-200字,"缓震, 适合新手, 跑步姿势提醒",医疗承诺,邀请留言跑量,#跑步入门 #运动装备 #跑鞋测评,鼓励循序渐进,,,,,,,,,,,
XHS-089,跑步入门装备,缓震跑鞋,通勤族,突出保护膝盖、舒适、性价比,温柔治愈,200-260字,"缓震, 适合新手, 跑步姿势提醒",医疗承诺,邀请留言跑量,#跑步入门 #运动装备 #跑鞋测评,鼓励循序渐进,,,,,,,,,,,
XHS-090,跑步入门装备,缓震跑鞋,学生党,突出保护膝盖、舒适、性价比,干货专业,120-160字,"缓震, 适合新手, 跑步姿势提醒",医疗承诺,邀请留言跑量,#跑步入门 #运动装备 #跑鞋测评,鼓励循序渐进,,,,,,,,,,,
XHS-091,环保生活,可重复使用水杯,学生党,突出环保、便携、颜值,真实体验,200-260字,"材质, 容量, 便携设计",夸大保温性能,引导分享自带杯体验,#环保生活 #随行杯 #低碳日常,语气轻松,,,,,,,,,,,
XHS-092,环保生活,可重复使用水杯,通勤族,突出环保、便携、颜值,高能种草,120-160字,"材质, 容量, 便携设计",夸大保温性能,引导分享自带杯体验,#环保生活 #随行杯 #低碳日常,语气轻松,,,,,,,,,,,
XHS-093,环保生活,可重复使用水杯,健身人群,突出环保、便携、颜值,温柔治愈,180-220字,"材质, 容量, 便携设计",夸大保温性能,引导分享自带杯体验,#环保生活 #随行杯 #低碳日常,语气轻松,,,,,,,,,,,
XHS-094,环保生活,可重复使用水杯,咖啡爱好者,突出环保、便携、颜值,干货专业,220-280字,"材质, 容量, 便携设计",夸大保温性能,引导分享自带杯体验,#环保生活 #随行杯 #低碳日常,语气轻松,,,,,,,,,,,
XHS-095,环保生活,可重复使用水杯,旅行党,突出环保、便携、颜值,轻松幽默,160-200字,"材质, 容量, 便携设计",夸大保温性能,引导分享自带杯体验,#环保生活 #随行杯 #低碳日常,语气轻松,,,,,,,,,,,
XHS-096,手机摄影,修图预设,拍照新手,突出一键出片、色调高级、易上手,高能种草,220-280字,"适用场景, 前后对比, 保存建议",贬低原图,引导收藏预设,#手机摄影 #修图预设 #出片技巧,可提光线技巧,,,,,,,,,,,
