,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
10,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"对于传说中这类拥有异常可怕力量的动物 ，尚武的古代欧洲人的真实心态
恐怕还是敬畏多于憎恶的．","杜绝过度治疗 ，除了加强宣传教育外 ，还要靠制度保障医疗机构正常运转
，调控盲目扩张的逐利行为．","作者观察细致 ，一泓清潭 ，汩汩流水 、郎朗歌声 ，都能激发他的灵感 ，都
能从中找到抒情叙事的切入点．","过于重视教育功能 ，文学作品会出现理性捆绑感性 ，思想大于形象 ，甚至
全无艺术性，变成干巴巴的说教．",A,,,,"answer: right
token: 216, 215, 1
time: 1.4s",,,,,
11,"9．（ 3分）依次填入下面一段文字横线处的语句，衔接最恰当的一组是（ 　　） 
    当代艺术博物馆今日举办名为 “风物 ”的展览，展出了几位画家、摄影师的作
品，            ，           。             ，              ，                ，                   
，能启发我们发现身边的奇景和诗意。  
①因此无论多么微不足道的事物都可变成艺术主题  
②展出的作品大部分都体现用细节带出重点的风格特点  
  ③彰显出艺术独具的神奇力量  
④作品展示的都是他们在美国南部腹地、新西兰北岛旅行时留下的记录  
⑤内容从自然环境、建筑、各类标志，到人物、室内布置，覆盖面很广  
⑥而且带有叙事意味，每件作品都像日常世界的一个短篇故事。  
A．②⑥⑤④③①  B．②③①④⑤⑥  C．④⑤②①⑥③  D．④⑥⑤①③②",,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
12,7．（ 3分）下列各句中，加点的成语使用恰当的一项是（ 　　）,"荆山之巅的大禹雕像头戴栉风沐雨的斗笠 ，手握开山挖河的神锸 ，脚踏兴
风作浪的蛟龙，再现了他与洪水搏斗的雄姿","京剧大师梅兰芳先生不仅在舞台上风姿绰约，在日常生活中也气度不凡 ，
无论何时何地，他总能让人为之倾倒","最后几年 ，由于市场竞争加剧 ，小家电生产企业加速整合 ，目前只剩下五
六家分庭抗礼， 占据了全省 60%的市场份额","家庭条件的优越和父母的溺爱 ，养成了他傲慢狂妄的个性 ，不管对谁都侧
目而视，一副天不怕地不怕的小霸王样子",B,,,,"answer: wrong (C)
token: 257, 256, 1
time: 1.8s",,,,,
13,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"很多企业都认识到 ，为了应对消费需求和竞争格局的变化 ，必须把改进服
  务提到与研发新产品同等重要的位置上。","一般人常常忽略的生活小事 ，作者却能够慧眼独具 ，将之信手拈来 ，寻找
其叙述的价值，成为小说的有机组成部分。","在90后的青少年中，科幻迷越来越多，这显示了科幻文化正在崛起，是
对长久以来孩子们缺失的想象力的呼唤。","数字化时代 ，文字记录方式发生了重大变化 ，致使很多人提笔忘字 ，长此
以往，将影响到汉字文化能否很好的传承。",A,,,,"answer: wrong (B)
token: 225, 224, 1
time: 1.1s",,,,,
14,"9．（ 3分）依次填入下面一段文字横线处的语句，衔接最恰当的一组是（ 　　） 
    在学校的日子里，我没有什么特别的感觉，        。我默默地注视着学校
红色的大门，由衷地感谢她带给我的一切。  
①很多时候你可能觉得今天跟昨天没什么不同  
②这时你可能非常留恋过去的日子  
③突然发现它写得真好  
④你回过头来，其实一切都在改变  
⑤不禁哼出一句 “月亮的脸偷偷地在改变 ” 
⑥现在要离开这个工作了七年的学校。  
A．①②④⑤⑥③  B．①⑥②⑤③④  C．⑥②⑤①④③  D．⑥⑤③①④②",,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
15,"7．（ 3分）依次填入下列各句横线处的成语，最恰当的一组是（ 　　） 
①医疗质量是关系到病人生命安危的大事，救死扶伤是医务人员        的天职。  
②中国传统的严父慈母型的家庭关系，常令父亲们        地承担起教育子女的
义务。  
③在全国比赛中屡获金奖的我省杂技团，        地承担了这次出国演出任务。",当仁不让  责无旁贷  义不容辞,责无旁贷  义不容辞  当仁不让,义不容辞  责无旁贷  当仁不让,义不容辞  当仁不让  责无旁贷,C,,,,"answer: right
token: 230, 229, 1
time: 1.4s",,,,,
16,8．（ 3分）下列各句中，没有语病的一句是  （　　）,"作为古希腊哲学家 ，他在本体论问题的论述中充满着辩证法 ，因此被誉为
“古代世界的黑格尔 ”．","古代神话虽然玄幻瑰奇 ，但仍然来源于生活现实 ，曲折地反映了先民们征
服自然、追求美好生活的愿望．","本书首次将各民族文学广泛载入中国文学通史 ，但就其章节设置 、阐释深
度等方面依然有很大的改进空间．","由此可见，当时的设计者们不仅希望该过程中艺术活动是富有创造性的 ，
而且技术活动也是富有创造性的．",B,,,,"answer: right
token: 213, 212, 1
time: 1.6s",,,,,
17,"9．（3分）依次填入下面一段文字横线处的语句 ，衔接最恰当的一组是  （　　） 
     中国珠算是以算盘为工具进行数字计算的一种方法，借助算盘和口诀，通
过人手指拨动算珠，就可以完成高难度计算。        ，       ，        ，     
        ，       ，       。2013年12月4日， “中国珠算 ”被正式列入联
合国教科文组织人类非物质文化遗产名录。  
①即便是不识字的人也能熟练掌握  
②珠算算盘结构简单，操作方便  
③包含了珠算的所有秘密  
④蕴含了坐标几何的原理  
⑤用珠算运算，无论速度还是准确率都可以跟电子计算器媲美  
⑥珠算口诀则是一套完整的韵味诗歌。  
A．②③⑥④⑤①  B．⑤②③⑥④①  C．⑤①②⑥③④  D．②④⑥③①⑤",,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
18,"7．（ 3分）依次填入下列各句検线处的成语，最恰当的一组是（ 　　） 
①消防工作必须立足于  _______，从提高公众的防火意识做起。  
②即使现有的产品杨销，也要  _______，抓紧技术储备与新产品开发。  
③如果我们不从小事做起， _______，那些细小的苗头最终可能酿成大祸。",防患未然  防微杜渐  未雨绸缪,防患未然  未雨绸缪  防微杜渐,未雨绸缪  防微杜渐  防患未然,未雨绸缪  防患未然  防徽杜渐,B,,,,"answer: right
token: 215, 214, 1
time: 1.1s",,,,,
19,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"他在新作 《世界史 》的前言中系统地阐述了世界是个不可分割的整体的观
念，并将相关理论在该书的编撰中得到实施。","作为一名语文老师，他非常喜欢茅盾的小说，对茅盾的《子夜 》曾反复阅
读，一直被翻得破烂不堪，只好重新装订。","《舌尖上的中国 》这部风靡海内外的纪录片，用镜头展示烹饪技术，用美
味包裹乡愁，给观众带来了心灵的震撼。","如果我们能够看准时机，把握机会，那么今天所投资百万元带来的效益 ，
恐怕是五年后投资千万元也比不上的。",C,,,,"answer: right
token: 232, 231, 1
time: 1.4s",,,,,
20,"9．（ 3分）依次填入下面一段文字横线处的语句，衔接最恰当的一组是（ 　　） 
    马是中国人喜爱的动物，是人类最早驯养的家畜之一，是极其温顺又充满野
性魅力的动物。        ，       ，       ，       ，       ，       ，
马己经成为力量与神奇的代表。  
①还让人们有了敬马王、打马球、赛马等习俗  
②对人们生活的各个方面都产生了重大影响  
③它帮人们种地运货，和人们一起南征北战  
④作为六畜之首  
⑤马是人类的朋友和伴侣  
⑥千里马、老马识途等故事也十分深入人心。  
A．③②④①⑤⑥  B．③⑥①④⑤②  C．⑤③②⑥①④  D．⑤④②③①⑥",,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
21,"7．（ 3分）依次填入下列各句横线处的成语，最恰当的一组是（ 　　） 
①这正是经验丰富的主教练在战术安排上的       之处：下半场比赛中想方设法
消耗对方主力队员的体力，终于扭转劣势，赢得比赛。  
  ②经过几天的       ，又和病人家属作了充分沟通，吴医生最终否定了治疗小组
提出的保守治疗方案，决定尽快为病人进行肺部手术。  
③早在上个世纪末，当地决策者就       ，提出了从单一的小农业向大农业转移
的战略措施，于是一个个生态经济园区应运而生。",老谋深算  深谋远虑  深思熟虑,深思熟虑  老谋深算  深谋远虑,老谋深算  深思熟虑  深谋远虑,深谋远虑  深思熟虑  老谋深算,C,,,,"answer: right
token: 271, 270, 1
time: 1.7s",,,,,
22,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"为纪念抗曰战争暨世界反法西斯战争胜利 70周年，从现在起到年底，国
家大剧院宣布将承办 31场精心策划的演出。","根据国家统计局发布的数据 ，4月份我国居民消费价格指数出现自去年 12
月以来的最大涨幅，但仍低于相关机构的预测。","这部小说中的 “边缘人 ”是一个玩世不恭、富有破坏性却真实坦白的群体 ，
人们面对这类形象时会引起深深的思索。","为进一步保障百姓餐桌安全 ，国家对施行已超过 5年的《食品安全法 》作
了修订，因加大了惩处力度而被冠以 “史上最严 ”的称号。",B,,,,"answer: right
token: 241, 240, 1
time: 1.2s",,,,,
23,"9．（ 3分）填入下面一段文字横线处的语句，最恰当的一句是（ 　　） 
    随着雾霾频发，油品质量对环境的影响引起了人们越来越多的关注。有测试
表明。一些城市空气中 PM2. 5的20%左右来自机动车尾气，而只要使用符合
新标准的汽油和柴油，        。有鉴于此，我国将加快推进成品油质量升级
国家专项行动。",即使现有汽车不作任何改造， 其尾气中相关污染物的排放也能减少 10%,"汽车尾气中相关污染物的排放就可减少 10%，现有汽车的改造并不是必须
的","再加上对现有汽车进行改造 ，其尾气中相关污染物的排放就将减少 10%以
上",不管是否改造现有汽车， 其尾气中的相关污染物排放都将减少 10%,A,,,,"answer: wrong (B)
token: 263, 262, 1
time: 1.6s",,,,,
24,"7．（ 3分）依次填入下列各句横线处的成语，最恰当的一组是（ 　　） 
①他是一个心地善良的人，但性格懦弱、谨小慎微，做起事来总是        ，从
来不敢越雷池一步。  
②当今世界科技突飞猛进，我们更要勇于开拓，不断进取，如果        ，就会
落后甚至被时代潮流所淘汰。  
③想让中国传统戏曲焕发出新的生命力，决不能满足于现状，        ，唯有创
新才是弘扬戏曲文化的康庄大道。",故步自封    墨守成规     抱残守缺,墨守成规    故步自封     抱残守缺,抱残守缺    故步自封     墨守成规,墨守成规    抱残守缺     故步自封,B,,,,"answer: right
token: 261, 260, 1
time: 1.4s",,,,,
25,8．（ 3分）下列各句中。没有语病的一句是（ 　　）,"“地坛书市 ”曾经是北京市民非常喜爱的一个文化品牌，去年更名为 “北京
书市 ”并落户朝阳公园后，依旧热情不减．","“丝绸之路经济带 ”横跨亚、非、欧三大洲 ，其形成与繁荣必将深刻影响世
界政治、经济格局，促进全球的和平与发展．","在那个民族独立和民族解放斗争风起云涌的时代 ，能激发人们的爱国热情
是评判一部文学作品好坏的非常重要的标准．","父亲住院期间 ，梅兰每天晚上都陪伴在他身旁 ，听他讲述一生中经历的种
种苦难和幸福，她就算再忙再累，也不例外．",B,,,,"answer: right
token: 240, 239, 1
time: 1.1s",,,,,
26,"9．（ 3分）填入下面一段文字横线处的语句，最恰当的一句是（ 　　） 
    辣，我们都不陌生，很多人无辣不欢甚至吃辣上瘾，这是因为辣椒素等辣味
物质刺激舌头、口腔的神经末梢时，会在大脑中形成类似灼烧的感觉，机体
就反射性地出现心跳加速、唾液及汗液分泌增多等现象，                  ，
  内啡肽又促进多巴胺的分泌 ，多巴胺能在短时间内令人高度兴奋 ，带来 “辣椒
素快感 ”，慢慢地我们吃辣就上瘾了。",大脑在这些兴奋性的刺激下把内啡肽释放出来,内啡肽因这些兴奋性的刺激而被大脑释放出来,这些兴奋性的刺激使大脑释放出内啡肽,这些兴奋性的刺激使大脑把内啡肽释放出来,C,,,,"answer: right
token: 254, 253, 1
time: 1.7s",,,,,
27,7．（3 分）下列各句中加点成语的使用，全都正确的一项是（ ） ①这块神奇的土地上，既有浩．如．烟．海．的传统文化典籍，也有丰富多彩的民俗文化 和各种流派的现代艺术，这些都深深吸引着前来参现的外国友人。 ②今年的元宵晚会上，著名豫剧演员小香玉将《谁说女子不如男》唱得字正腔圆、 声情并茂，令观众刮．目．相．看．、赞叹不已。 ③最近出版的长篇小说《雪莲花开》通过对藏族姑娘卓玛的人生历程的叔述，表 现了她鲜明的民族性格和一．言．九．鼎．的为人准则。 ④经过周密的调查，公安人员终于掌握了在逃人员的行踪，然后兵分三路，按．图． 索．骥．，一举将他们全都缉拿归案。 ⑤这几幅书法作品笔．走．龙．蛇．、流畅飘逸，在本次春季拍卖会甫一亮相，就引起了 国内外藏家的极大兴趣。 ⑥天寒地冻、滴水成冰的季节终于过去，春天在大家的盼望中姗姗而来，到处都 涣．然．冰．释．，生机勃勃。 A．①②④ B．①④⑤ C．②③⑥ D．③⑤⑥,,,,,B,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
28,8．（3 分）下列各句中，没有语病的一句是（ ） A．随着技术的进步和经验的积累，再加上政策的扶持，使得我国自主品牌汽 车进入快速发展时期，各种创新产品层出不穷。 B．如果有一天科技发展到人们乘宇宙飞船就像今天乘飞机一样方便的时候， 银河就不再遥远，宇宙也就不再那么神秘了。 C．首届跨境电商论坛近日在北京举行，来自各知名电商的数十名代表齐聚一 堂，分析了电商企业面临的机遇和挑战。 D．在第 40 个国际博物馆日到来之际，本市历时三年开展的第一次全国可移 动文物普査工作，昨日交出了首份答卷。,,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
29,"7．（ 3分）下列各句中加点词语的使用，全都正确的一项是（ 　　） 
①第二展厅的文物如同一部浓缩的史书 ，举重若轻地展示了先民们在恶劣的自然
条件下顽强战争、繁衍生息的漫长历史。  
②这部翻译小说虽然是以家庭生活为题材的 ，却多侧面 、多视角地展现出那个时
代光怪陆离的社会生活画卷。  
③毕业后他的同学大都顺理成章地走上了音乐创作之路 ，而他却改换门庭 ，另有
所爱，一头扎进中国古代文化研究中。  
④就对后世的影响来说，我们一致认为《封神演义 》虽然比不上《西游记 》，但
和《聊斋志异》是可以并行不悖的。  
⑤在那几年的工作学习中 ，杨老师给了我很大的帮助 ，他的教导在我听来如同空
谷足音，给我启示，带我走出困惑。  
⑥我国绘画史上有一个时期把王石谷等四人奉为圭臬 ，凡是学画 ，都以他们为宗
  ，有的甚至照摹照搬。  
A．①②④  B．①③⑤  C．②⑤⑥  D．③④⑥",,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
30,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"近日刚刚建成的西红门创业大街和青年创新创业大赛同步启动 ，绿色设计
和“互联网+农业 ”设计是本次赛事的两大主题。","最近几年 ，从中央到地方各级政府出台了一系列新能源汽车扶持政策 ，节
能环保、经济实惠的新能源汽车逐渐进入老百姓的生活。","实时性是以互联网为载体的新媒体的重要特点 ，是通过图片 、声音、文字
对新近发生和正在发生的事件进行传播的。","广西传统文化既具有典型的本土特色 ，又兼有受中原文化 、客家文化 、湘
楚文化共同影响下形成的其他特点。",B,,,,"answer: right
token: 221, 220, 1
time: 0.7s",,,,,
31,"9．（ 3分）填入下面文段空白处的词语，最恰当的一组是（ 　　） 
    我们曾说，中学生初学文言文时  ①不要依赖译文。 ②并不是说在整个学习
过程中绝对不去参看译文 。其实，③肯动脑筋 ，④不盲目机械地看待译文 ，⑤
，只要译文不是太差，看着译文也无妨。有时候把译文跟注释对照起来揣摩
学习，⑥不失为一种可行的方法。  
 ① ② ③ ④ ⑤ ⑥ 
A / 这 如果  而且  那么  也 
B 最好  当然  一旦  / 而且  就 
C 一定  也 如果  并且  因此  / 
D 尽量  / 因为  进而  所以  仍 
A．A B．B C．C D．D",,,,,A,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
32,"7．（ 3分）下列各句中加点成语的使用，全部正确的一项是（ 　　） 
①舞台上的灯光时明时暗 ，快速变幻的布景令人目不交睫 ，随着歌手的狂歌劲舞
，观众席上也一片沸腾。  
②有专家指出 ，石油是不可忽视的战略资源 ，我们必须厝火积薪 ，未雨绸缪 ，进
一步健全中国的石油安全体系。  
③那些航空领域的拓荒者 ，很多已经离开人世 ，但他们筚路蓝缕的感人形象一直
深深印在人们的记忆中。  
④这次会谈并没有其他人员参加 ，他们两个人又都一直讳莫如深 ，所以会谈内容
就成为一个难解之谜。  
  ⑤正在悠闲散步的外科主任王教授 ，突然接到护士电话说有个病人情况危急 ，他
立刻安步当车向医院跑去。  
⑥从用字之讲究可以看出 ，这首诗的作者苦心孤诣 ，要在这有限的篇幅中营造出
一种深邃幽远的意境。  
A．①②⑤  B．①④⑥  C．②③⑤  D．③④⑥",,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
33,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"自从我国第一颗人造卫星 “东方红一号 ”成功发射 ，成为世界上第五个把卫
星送上天的国家以来，我国的航天事业取得了巨大的突破．","国务院近日发布盐业体制改革方案 ，提出不再核准新增食盐定点生产批发
企业，取消食盐批发企业只能在指定范围内销售 ，允许它们开展跨区域经营．","职业教育的意义不仅在于传授技能 ，更在于育人 ，因此有意识地把工匠精
神渗透进日常的技能教学中是职业教育改革的重要课题．","面对突然发生的灾难 ，一个地方抗灾能力的强弱既取决于当地经济实力的
雄厚，更取决于政府的应急机制和领导人的智慧．",C,,,,"answer: right
token: 242, 241, 1
time: 0.8s",,,,,
34,"9．（ 3分）填入下面文段空白处的词语，最恰当的一组是（ 　　） 
    比尔 ﹒布莱森在他的《万物简史》里介绍了超级火山的巨大破坏性。以美国
为例，①境内有一座超级火山喷发， ②其产生的巨大能量将摧毁数千公里范
围内的所有东西，无数人会因此丧命， ③会导致整个国家被深达 6～20米的
火山覆盖，随后 ④会出现其他许多可怕后果， ⑤目前人类还无法预测美国超
级火山在何时喷发， ⑥了解了它的杀伤力有利于我们制订各种减损预案。  
 ① ② ③ ④ ⑤ ⑥ 
A 一旦  则 / 也 即使  然而  
B 倘若  那么  进而  / 由于  所以  
C 假如  则 甚至  更 / 那么  
D 只要  / 而且  还 虽然  但 
A．A B．B C．C D．D",,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
35,7．（3 分）下列各句中加点成语的使用，全都不正确的一项是（ ） ①促进科研成果转移转化是实施创新驱动发展战略的重要任务，我们应该制订一 套行．之．有．效．的激励机制和创新协同机制。 ②小庄从小就对机器人玩具特别感兴趣，上学后喜欢收集机器人模型，通过各种 途径得到的模型已经汗．牛．充．栋．，整整一间屋都摆满了。 ③约翰逊的学术方法虽比较新颖，但其学术成果得到学术界公认的却不是很多， 再加上其追随者大都等．而．下．之．，以致他的学术地位一直不高。 ④张家界独特的自然景观被列入《世界自然遗产名录》，徜徉其间，峰峦叠峰， 峪壑幽深，溪流澄碧，让人乐．不．思．蜀．。 ⑤近年来，有关部门采取了一系列措施强化虚拟广告的监管，使得滥．竽．充．数．的广 告得到了一定程度的遏制。 ⑥丹•罗斯嘉德发明的“雾霾塔”是一种利用静电吸附尘粒原理的环保装置，脏空 气滔．滔．不．绝．地从塔顶进入后，能在塔中间得到净化。A．①③⑤ B．①④⑥ C．②③④ D．②⑤⑥,,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
36,8．（3 分）下列各句中，没有语病的一句是（ ） A．今天参观的石窟造像群气势宏伟，内容丰富，堪称当时的石刻艺术之冠， 被誉为中国古代雕刻艺术的宝库。 B．传统文化中的餐桌礼仪是很受重视的。老人常说，看一个人的吃相，往往 会暴露他的性格特点和教养情况。 C．在那些父母性格温和、情绪平和的孩子身上，往往笑容更多，幸福感更强，抗挫折能力更突出，看待世界也更加宽容。 D．经过几代航天人的艰苦奋斗，中国的航天事业开创了以“两弹一星”、载人 航天、月球探测为代表的辉煌成就。,,,,,A,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
37,9．（3 分）下列各句中，表达得体的一句是〔3 分〕（ ） A．他是个可怜的孤儿，小时候承蒙我父母照顾，所以现在经常来看望他 们．B．杨老师年过七旬仍然笔耕不辍，作为他的高足，我们感到既自豪又惭愧．C．这篇文章是我刚完成的，无论观点还是文字都不够成熟，请您不吝赐 教．D．由于路上堵车非常严重，我赶到约定地点的时候，对方早已恭候多 时．,,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
