,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
15,"1. （5 分）已知集合 $A=\left\{x \mid x^{2}-x-2<0\right\}, B=\{x \mid-1<x<1\}$, 则（）",$A \subsetneq B$,$\mathrm{B} \subsetneq \mathrm{A}$,$A=B$,$A \cap B=\varnothing$,B,,,,"answer: wrong (A)
token: 903, 130, 773
time: 2.8s",,,,,
16,2. (5 分) 复数 $z=\frac{-3+i}{2+i}$ 的共轭复数是（ ）,$2+i$,$2-\mathrm{i}$,$-1+i$,$-1-i$,D,,,,"answer: wrong (A)
token: 477, 107, 370
time: 1.9s",,,,,
17,"8. (5 分) 平面 $\alpha$ 截球 $\mathrm{O}$ 的球面所得圆的半径为 1 , 球心 $\mathrm{O}$ 到平面 $\alpha$ 的距离为 $\sqrt{2}$ , 则此球的体积为 ( )",$\sqrt{6} \pi$,$4 \sqrt{3} \pi$,$4 \sqrt{6} \pi$,$6 \sqrt{3} \pi$,B,,,,"answer: wrong (C)
token: 153, 152, 1
time: 0.8s",,,,,
18,"10. (5 分) 等轴双曲线 $C$ 的中心在原点, 焦点在 $x$ 轴上, $C$ 与抛物线 $y^{2}=16 x$ 的 准线交于点 $A$ 和点 $B,|A B|=4 \sqrt{3}$, 则 $C$ 的实轴长为（）",$\sqrt{2}$,$2 \sqrt{2}$,4,8,C,,,,"answer: wrong (B)
token: 154, 153, 1
time: 0.8s",,,,,
19,"12. (5 分) 数列 $\left\{a_{n}\right\}$ 满足 $a_{n+1}+(-1){ }^{n} a_{n}=2 n-1$, 则 $\left\{a_{n}\right\}$ 的前 60 项和为 ( )",3690,3660,1845,1830,D,,,,"answer: wrong (A)
token: 21823, 138, 21685
time: 78.7s",,,,,
20,"1. (5 分) 已知集合 $A=\{1,2,3,4\}, B=\left\{x \mid x=n^{2}, n \in A\right\}$, 则 $A \cap B=(\quad)$","$\{1,4\}$","$\{2,3\}$","$\{9,16\}$","$\{1,2\}$",A,,,,"answer: wrong (B)
token: 127, 126, 1
time: 0.7s",,,,,
21,2. (5 分) $\frac{1+2 i}{(1-i)^{2}}=(\quad)$,$-1-\frac{1}{2} \mathrm{i}$,$-1+\frac{1}{2} \mathrm{i}$,$1+\frac{1}{2} \mathrm{i}$,$1-\frac{1}{2} \mathrm{i}$,B,,,,"answer: wrong (A)
token: 599, 135, 464
time: 2.5s",,,,,
22,"3. ( 5 分) 从 $1,2,3,4$ 中任取 2 个不同的数, 则取出的 2 个数之差的绝对值 为 2 的概率是 ( $)$",$\frac{1}{2}$,$\frac{1}{3}$,$\frac{1}{4}$,$\frac{1}{6}$,B,,,,"answer: wrong (A)
token: 794, 130, 664
time: 3.2s",,,,,
23,"4. (5 分) 已知双曲线 $c: \frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$ 的离心率为 $\frac{\sqrt{5}}{2}$, 则 $c$ 的渐 近线方程为 ( )",$y= \pm \frac{1}{4} x$,$y= \pm \frac{1}{3} x$,$y= \pm x$,$y= \pm \frac{1}{2} x$,D,,,,"answer: wrong (C)
token: 685, 174, 511
time: 2.5s",,,,,
24,"5. (5 分) 已知命题 $p: \forall x \in R, 2^{x}<3^{x}$; 命题 $q: \exists x \in R, x^{3}=1-x^{2}$, 则下列命题 中为真命题的是 ( )",$p \wedge q$,$\neg p \wedge q$,$p \wedge \neg q$,$\neg p \wedge \neg q$,B,,,,"answer: wrong (A)
token: 935, 150, 785
time: 2.8s",,,,,
25,"6. (5 分) 设首项为 1 , 公比为 $\frac{2}{3}$ 的等比数列 $\left\{a_{n}\right\}$ 的前 $n$ 项和为 $S_{n}$, 则 ( )",$S_{n}=2 a_{n}-1$,$S_{n}=3 a_{n}-2$,$S_{n}=4-3 a_{n}$,$S_{n}=3-2 a_{n}$,D,,,,"answer: right
token: 158, 157, 1
time: 0.6s",,,,,
26,"10. (5 分) 已知锐角 $\triangle A B C$ 的内角 $A, B, C$ 的对边分别为 $a, b, c, 23 \cos ^{2} A+\cos 2 A=0$ , $a=7, c=6$, 则 $b=(\quad)$",10,9,8,5,D,,,,"answer: wrong (A)
token: 2228, 136, 2092
time: 6.8s",,,,,
27,"1. (5 分) 已知集合 $M=\{x \mid-3<x<1, x \in R\}, N=\{-3,-2,-1,0,1\}$, 则 $M \cap N=(\quad)$","$\{-2,-1,0,1\}$","$\{-3,-2,-1,0\}$","$\{-2,-1,0\}$","$\{-3,-2,-1\}$",C,,,,"answer: right
token: 142, 141, 1
time: 0.7s",,,,,
28,2. (5 分) $\left|\frac{2}{1+i}\right|=(\quad)$,$2 \sqrt{2}$,2,$\sqrt{2}$,1,C,,,,"answer: wrong (B)
token: 95, 94, 1
time: 0.6s",,,,,
29,"4. (5 分) $\triangle A B C$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$, 已知 $b=2, B=\frac{\pi}{6}, C=$ $\frac{\pi}{4}$, 则 $\triangle A B C$ 的面积为 $(\quad)$",$2 \sqrt{3}+2$,$\sqrt{3}+1$,$2 \sqrt{3}-2$,$\sqrt{3}-1$,B,,,,"answer: wrong (C)
token: 159, 158, 1
time: 0.8s",,,,,
30,"5. (5 分) 设椭圆 C: $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ 的左、右焦点分别为 $F_{1} 、 F_{2}, P$ 是 C 上的点 $P F_{2} \perp F_{1} F_{2}, \angle P F_{1} F_{2}=30^{\circ}$, 则 $C$ 的离心率为 $(\quad)$",$\frac{\sqrt{6}}{6}$,$\frac{1}{3}$,$\frac{1}{2}$,$\frac{\sqrt{3}}{3}$,D,,,,"answer: wrong (C)
token: 3357, 195, 3162
time: 9.6s",,,,,
31,"6. (5 分) 已知 $\sin 2 \alpha=\frac{2}{3}$, 则 $\cos ^{2}\left(\alpha+\frac{\pi}{4}\right)=(\quad)$",$\frac{1}{6}$,$\frac{1}{3}$,$\frac{1}{2}$,$\frac{2}{3}$,A,,,,"answer: wrong (C)
token: 126, 125, 1
time: 0.8s",,,,,
32,"8. （5 分） 设 $a=\log _{3} 2, b=\log _{5} 2, c=\log _{2} 3$, 则（ $）$",$a>c>b$,$b>c>a$,$c>a>b$,$c>b>a$,C,,,,"answer: right
token: 126, 125, 1
time: 0.9s",,,,,
33,"12. （5 分）若存在正数 $x$ 使 $2^{x}(x-a)<1$ 成立, 则 $a$ 的取值范围是（ $)$","$(-\infty,+\infty)$","$(-2,+\infty)$","$(0,+\infty)$","$(-1,+\infty)$",D,,,,"answer: wrong (A)
token: 118, 117, 1
time: 0.4s",,,,,
34,"1. （5 分）已知集合 $M=\{x \mid-1<x<3\}, N=\{x \mid-2<x<1\}$, 则 $M \cap N=(\quad)$","$(-2,1)$","$(-1,1)$","$(1,3)$","$(-2,3)$",B,,,,"answer: right
token: 119, 118, 1
time: 0.6s",,,,,
35,"2. (5 分) 若 $\tan \alpha>0$, 则 $(\quad)$",$\sin \alpha>0$,$\cos \alpha>0$,$\sin 2 \alpha>0$,$\cos 2 \alpha>0$,C,,,,"answer: wrong (A)
token: 1409, 106, 1303
time: 4.9s",,,,,
36,"3. （5 分) 设 $z=\frac{1}{1+i}+i, \quad$ 则 $|z|=(\quad)$",$\frac{1}{2}$,$\frac{\sqrt{2}}{2}$,$\frac{\sqrt{3}}{2}$,2,B,,,,"answer: wrong (A)
token: 788, 114, 674
time: 3.1s",,,,,
37,"4. (5 分）已知双曲线 $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{3}=1(a>0)$ 的离心率为 2 , 则实数 $a=(\quad)$",2,$\frac{\sqrt{6}}{2}$,$\frac{\sqrt{5}}{2}$,1,D,,,,"answer: wrong (B)
token: 128, 127, 1
time: 0.6s",,,,,
38,"5. （5 分) 设函数 $f(x), g(x)$ 的定义域都为 $R$, 且 $f(x)$ 是奇函数, $g(x)$ 是偶函数，则下列结论正确的是（）",$f(x) \bullet g(x)$ 是偶函数,$|f(x)| \bullet g(x)$ 是奇函数,$f(x) \bullet|g(x)|$ 是奇函数,$|f(x) \bullet g(x)|$ 是奇函数,C,,,,"answer: right
token: 169, 168, 1
time: 0.9s",,,,,
39,"10. （5 分) 已知抛物线 $C: y^{2}=x$ 的焦点为 $F, A\left(x_{0}, y_{0}\right)$ 是 $C$ 上一点, $A F=\left|\frac{5}{4} x_{0}\right|$ , 则 $x_{0}=(\quad)$",1,2,4,8,A,,,,"answer: wrong (C)
token: 1411, 139, 1272
time: 3.0s",,,,,
40,"12. (5 分) 已知函数 $f(x)=a x^{3}-3 x^{2}+1$, 若 $f(x)$ 存在唯一的零点 $x_{0}$, 且 $x_{0}>$ 0, 则实数 $\mathrm{a}$ 的取值范围是（ $)$","$(1,+\infty)$","$(2,+\infty)$","$(-\infty,-1)$","$(-\infty,-2)$",D,,,,"answer: wrong (A)
token: 8683, 147, 8536
time: 34.4s",,,,,
41,"1. （5 分) 已知集合 $A=\{-2,0,2\}, B=\left\{x \mid x^{2}-x-2=0\right\}$, 则 $A \cap B=(\quad)$",$\varnothing$,$\{2\}$,$\{0\}$,$\{-2\}$,B,,,,"answer: wrong (A)
token: 590, 116, 474
time: 2.0s",,,,,
42,2. $(5$ 分 $) \frac{1+3 i}{1-i}=(\quad)$,$1+2 \mathrm{i}$,$-1+2 i$,$1-2 i$,$-1-2 i$,B,,,,"answer: wrong (A)
token: 105, 104, 1
time: 0.7s",,,,,
43,"3. （5 分) 函数 $f(x)$ 在 $x=x_{0}$ 处导数存在, 若 $p: f^{\prime}\left(x_{0}\right)=0: q: x=x_{0}$ 是 $f(x)$ 的极值点, 则 ( )",$p$ 是 $q$ 的充分必要条件,$p$ 是 $q$ 的充分条件，但不是 $q$ 的必要条件,"$p$ 是 $q$ 的必要条件, 但不是 $q$ 的充分条件","$p$ 既不是 $q$ 的充分条件, 也不是 $q$ 的必要条件",C,,,,"answer: right
token: 193, 192, 1
time: 0.6s",,,,,
44,"4. （5 分）设向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}+\vec{b}|=\sqrt{10},|\vec{a}-\vec{b}|=\sqrt{6}$, 则 $\vec{a} \bullet \vec{b}=(\quad)$",1,2,3,5,A,,,,"answer: wrong (B)
token: 129, 128, 1
time: 1.7s",,,,,
45,"5. (5 分) 等差数列 $\left\{a_{n}\right\}$ 的公差为 2 , 若 $a_{2}, a_{4}, a_{8}$ 成等比数列, 则 $\left\{a_{n}\right\}$ 的前 $n$ 项和 $S_{n}=(\quad)$",$n(n+1)$,$n(n-1)$,$\frac{\mathrm{n}(\mathrm{n}+1)}{2}$,$\frac{n(n-1)}{2}$,A,,,,"answer: right
token: 1195, 164, 1031
time: 3.5s",,,,,
46,"7. (5 分) 正三棱柱 $A B C-A_{1} B_{1} C_{1}$ 的底面边长为 2 , 侧棱长为 $\sqrt{3}, D$ 为 $B C$ 中点, 则三棱雉 $A-B_{1} D C_{1}$ 的体积为 ( $)$",3,$\frac{3}{2}$,1,$\frac{\sqrt{3}}{2}$,C,,,,"answer: wrong (A)
token: 7677, 153, 7524
time: 29.1s",,,,,
47,"10. (5 分) 设 $F$ 为抛物线 $C: y^{2}=3 x$ 的焦点, 过 $F$ 且倾斜角为 $30^{\circ}$ 的直线交于 $C$ 于 $A, B$ 两点, 则 $|A B|=$",$\frac{\sqrt{30}}{3}$,6,12,$7 \sqrt{3}$,C,,,,"answer: wrong (A)
token: 1300, 145, 1155
time: 3.9s",,,,,
48,"11. （5 分) 若函数 $f(x)=k x-\ln x$ 在区间 $(1,+\infty)$ 单调递增, 则 $k$ 的取值范 围是 $(\quad)$","$(-\infty,-2]$","$(-\infty,-1]$","$[2,+\infty)$","$[1,+\infty)$",D,,,,"answer: right
token: 1252, 124, 1128
time: 4.5s",,,,,
49,"1. （5 分) 已知集合 $A=\{x \mid x=3 n+2, n \in N\}, B=\{6,8,10,12,14\}$, 则集合 $A \cap$ $B$ 中元素的个数为 $(\quad)$",5,4,3,2,D,,,,"answer: wrong (C)
token: 124, 123, 1
time: 0.4s",,,,,
50,"2. (5 分) 已知点 $A(0,1), B(3,2)$, 向量 $\overrightarrow{\mathrm{AC}}=(-4,-3)$, 则向量 $\overrightarrow{\mathrm{BC}}=$","$(-7,-4)$","$(7,4)$","$(-1,4)$","$(1,4)$",A,,,,"answer: right
token: 541, 121, 420
time: 2.1s",,,,,
51,"3. （5 分）已知复数 $z$ 满足 $(z-1) i=1+i$, 则 $z=(\quad)$",$-2-\mathrm{i}$,$-2+i$,2- $i$,$2+i$,C,,,,"answer: wrong (B)
token: 111, 110, 1
time: 0.6s",,,,,
52,"4. (5 分) 如果 3 个正整数可作为一个直角三角形三条边的边长, 则称这 3 个 数为一组勾股数. 从 $1,2,3,4,5$ 中任取 3 个不同的数, 则这 3 个数构成 一组勾股数的概率为 ( $)$",$\frac{3}{10}$,$\frac{1}{5}$,$\frac{1}{10}$,$\frac{1}{20}$,C,,,,"answer: wrong (A)
token: 1139, 160, 979
time: 3.6s",,,,,
53,"5. (5 分) 已知椭圆 $E$ 的中心在坐标原点, 离心率为 $\frac{1}{2}, E$ 的右焦点与抛物线 $C$ : $y^{2}=8 x$ 的焦点重合, $A, B$ 是 $C$ 的准线与 $E$ 的两个交点, 则 $|A B|=(\quad)$",3,6,9,12,B,,,,"answer: wrong (C)
token: 1029, 151, 878
time: 2.5s",,,,,
54,"7. (5 分) 已知 $\left\{a_{n}\right\}$ 是公差为 1 的等差数列, $S_{n}$ 为 $\left\{a_{n}\right\}$ 的前 $n$ 项和, 若 $S_{8}=4 S_{4}$, 则 $\mathrm{a}_{10}=(\quad)$",$\frac{17}{2}$,$\frac{19}{2}$,10,12,B,,,,"answer: wrong (A)
token: 901, 151, 750
time: 1.9s",,,,,
55,"10. (5 分) 已知函数 $f(x)=\left\{\begin{array}{l}2^{x-1}-2, x \leqslant 1 \\ -\log _{2}(x+1), x>1\end{array}\right.$, 且 $f(a)=-3$, 则 $f(6-a$ )$=(\quad)$",$-\frac{7}{4}$,$-\frac{5}{4}$,$-\frac{3}{4}$,$-\frac{1}{4}$,A,,,,"answer: right
token: 764, 161, 603
time: 2.4s",,,,,
56,"1. （5 分）已知集合 $A=\{x \mid-1<x<2\}, B=\{x \mid 0<x<3\}$, 则 $A \cup B=(\quad)$","$(-1,3)$","$(-1,0)$","$(0,2)$","$(2,3)$",A,,,,"answer: right
token: 119, 118, 1
time: 0.7s",,,,,
57,"2. (5 分) 若为 $a$ 实数, 且 $\frac{2+a i}{1+i}=3+i$, 则 $a=(\quad)$",-4,-3,3,4,D,,,,"answer: wrong (C)
token: 103, 102, 1
time: 0.6s",,,,,
58,"4. (5 分) $\vec{a}=(1,-1), \vec{b}=(-1,2)$ 则 $(2 \vec{a}+\vec{b}) \cdot \vec{a}=(\quad)$",-1,0,1,2,C,,,,"answer: right
token: 110, 109, 1
time: 0.7s",,,,,
59,"5. (5 分) 已知 $S_{n}$ 是等差数列 $\left\{a_{n}\right\}$ 的前 $n$ 项和, 若 $a_{1}+a_{3}+a_{5}=3$, 则 $S_{5}=(\quad)$",5,7,9,11,A,,,,"answer: wrong (C)
token: 124, 123, 1
time: 0.7s",,,,,
60,"7. (5 分) 已知三点 $A(1,0), B(0, \sqrt{3}), C(2, \sqrt{3})$ 则 $\triangle A B C$ 外接圆的 圆心到原点的距离为 ( )",$\frac{5}{3}$,$\frac{\sqrt{21}}{3}$,$\frac{2 \sqrt{5}}{3}$,$\frac{4}{3}$,B,,,,"answer: wrong (A)
token: 1101, 146, 955
time: 4.2s",,,,,
61,"9. (5 分) 已知等比数列 $\left\{a_{n}\right\}$ 满足 $\left.a_{1}=\frac{1}{4}, a_{3} a_{5}=4 （ a_{4}-1\right)$, 则 $a_{2}=(\quad)$",2,1,$\frac{1}{2}$,$\frac{1}{8}$,C,,,,"answer: wrong (A)
token: 136, 135, 1
time: 0.5s",,,,,
62,"12. (5 分) 设函数 $f(x)=\ln (1+|x|)-\frac{1}{1+x^{2}}$, 则使得 $f(x)>f(2 x-1)$ 成 立的 $\mathrm{x}$ 的取值范围是 ( $)$","$\left(-\infty, \frac{1}{3}\right) \cup(1,+\infty)$","$\left(\frac{1}{3}, 1\right)$","$\left(-\frac{1}{3}, \frac{1}{3}\right)$","$\left(-\infty,-\frac{1}{3},\right) \cup\left(\frac{1}{3},+\infty\right)$",B,,,,"answer: wrong (A)
token: 5355, 199, 5156
time: 19.6s",,,,,
63,"1. （5 分）设集合 $A=\{1,3,5,7\}, B=\{x \mid 2 \leqslant x \leqslant 5\}$, 则 $A \cap B=(\quad)$","$\{1,3\}$","$\{3,5\}$","$\{5,7\}$","$\{1,7\}$",B,,,,"answer: wrong (A)
token: 120, 119, 1
time: 0.6s",,,,,
64,"2. （5 分）设 $(1+2 i)(a+i)$ 的实部与虚部相等, 其中 $a$ 为实数, 则 $a$ 等于 $(\quad)$",-3,-2,2,3,A,,,,"answer: right
token: 107, 106, 1
time: 1.4s",,,,,
65,"3. (5 分) 为美化环境, 从红、黄、白、紫 4 种颜色的花中任选 2 种花种在一 个花坛中, 余下的 2 种花种在另一个花坛中, 则红色和紫色的花不在同一花 坛的概率是 $(\quad)$",$\frac{1}{3}$,$\frac{1}{2}$,$\frac{2}{3}$,$\frac{5}{6}$,C,,,,"answer: wrong (A)
token: 2661, 156, 2505
time: 6.7s",,,,,
66,"4. (5 分) $\triangle A B C$ 的内角 $A 、 B 、 C$ 的对边分别为 $a 、 b 、 c$. 已知 $a=\sqrt{5}, c=2, \cos A=$ $\frac{2}{3}$, 则 $b=(\quad)$",$\sqrt{2}$,$\sqrt{3}$,2,3,D,,,,"answer: wrong (B)
token: 134, 133, 1
time: 1.2s",,,,,
67,"5. (5 分) 直线 I 经过椭圆的一个顶点和一个焦点, 若椭圆中心到 I 的距离为其 短轴长的 $\frac{1}{4}$, 则该椭圆的离心率为（）",$\frac{1}{3}$,$\frac{1}{2}$,$\frac{2}{3}$,$\frac{3}{4}$,B,,,,"answer: wrong (A)
token: 3069, 131, 2938
time: 12.0s",,,,,
68,"8. （5 分） 若 $a>b>0,0<c<1$, 则（ $)$",$\log _{a} c<\log _{b} c$,$\log _{c} a<\log _{c} b$,$a^{c}<b^{c}$,$c^{a}>c^{b}$,B,,,,"answer: wrong (A)
token: 1198, 123, 1075
time: 3.4s",,,,,
69,"12. (5 分) 若函数 $f(x)=x-\frac{1}{3} \sin 2 x+a \sin x$ 在 $(-\infty,+\infty)$ 单调递增, 则 $a$ 的 取值范围是 $(\quad)$","$[-1,1]$","$\left[-1, \frac{1}{3}\right]$","$\left[-\frac{1}{3}, \frac{1}{3}\right]$","$\left[-1,-\frac{1}{3}\right]$",C,,,,"answer: wrong (A)
token: 2740, 163, 2577
time: 8.0s",,,,,
70,"1. （5 分）已知集合 $A=\{1,2,3\}, B=\left\{x \mid x^{2}<9\right\}$, 则 $A \cap B=（ \quad ）$","$\{-2,-1,0,1,2,3\}$","$\{-2,-1,0,1,2\}$","$\{1,2,3\}$","$\{1,2\}$",D,,,,"answer: wrong (C)
token: 139, 138, 1
time: 0.9s",,,,,
71,"2. （5 分）设复数 $z$ 满足 $z+i=3-i$, 则 $\bar{z}=(\quad)$",$-1+2 i$,$1-2 i$,$3+2 i$,$3-2 i$,C,,,,"answer: wrong (A)
token: 393, 111, 282
time: 1.3s",,,,,
72,"4. （5 分）体积为 8 的正方体的顶点都在同一球面上, 则该球面的表面积为（",$12 \pi$,$\frac{32}{3} \pi$,$8 \pi$,$4 \pi$,A,,,,"answer: right
token: 559, 111, 448
time: 1.5s",,,,,
73,"5. (5 分) 设 $F$ 为抛物线 $C: y^{2}=4 x$ 的焦点, 曲线 $y=\frac{k}{x}(k>0)$ 与 $C$ 交于点 $P, P F$ $\perp x$ 轴, 则 $k=(\quad)$",$\frac{1}{2}$,1,$\frac{3}{2}$,2,D,,,,"answer: wrong (C)
token: 144, 143, 1
time: 0.8s",,,,,
74,"6. (5 分) 圆 $x^{2}+y^{2}-2 x-8 y+13=0$ 的圆心到直线 $a x+y-1=0$ 的距离为 1 , 则 $a=($",$-\frac{4}{3}$,$-\frac{3}{4}$,$\sqrt{3}$,2,A,,,,"answer: right
token: 861, 130, 731
time: 2.4s",,,,,
75,"8. (5 分) 某路口人行横道的信号灯为红灯和绿灯交替出现, 红灯持续时间为 40 秒. 若一名行人来到该路口遇到红灯, 则至少需要等待 15 秒才出现绿灯的概 率为 $(\quad)$",$\frac{7}{10}$,$\frac{5}{8}$,$\frac{3}{8}$,$\frac{3}{10}$,B,,,,"answer: wrong (A)
token: 3167, 152, 3015
time: 13.7s",,,,,
76,"10. （5 分) 下列函数中, 其定义域和值域分别与函数 $y=10^{\lg x}$ 的定义域和值域相 同的是 ( )",$y=x$,$y=\lg x$,$y=2^{x}$,$y=\frac{1}{\sqrt{x}}$,D,,,,"answer: wrong (A)
token: 843, 126, 717
time: 2.3s",,,,,
77,11. (5 分) 函数 $\mathrm{f}(\mathrm{x})=\cos 2 x+6 \cos \left(\frac{\pi}{2}-\mathrm{x}\right)$ 的最大值为 ( ),4,5,6,7,B,,,,"answer: wrong (C)
token: 110, 109, 1
time: 0.4s",,,,,
78,"1. (5 分) 设集合 $A=\{0,2,4,6,8,10\}, B=\{4,8\}$, 则 $C_{A} B=(）$
A. $\{4,8\}$
B. $\{0,2,6\}$
C. $\{0,2,6,10\}$ D. $\{0,2,4,6,8,10\}$",,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
79,2. (5 分) 若 $z=4+3 i$ ，则 $\frac{\bar{z}}{|z|}=(\quad)$,1,-1,$\frac{4}{5}+\frac{3}{5} i$,$\frac{4}{5}-\frac{3}{5} i$,D,,,,"answer: right
token: 120, 119, 1
time: 0.9s",,,,,
80,"3. (5 分) 已知向量 $\overrightarrow{\mathrm{BA}}=\left(\frac{1}{2}, \frac{\sqrt{3}}{2}\right), \overrightarrow{\mathrm{BC}}=\left(\frac{\sqrt{3}}{2}, \frac{1}{2}\right)$, 则 $\angle \mathrm{ABC}=(\quad)$",$30^{\circ}$,$45^{\circ}$,$60^{\circ}$,$120^{\circ}$,A,,,,"answer: wrong (C)
token: 153, 152, 1
time: 0.7s",,,,,
